datum,transaction,instrument,holder,location,measure,value,edate,year,month,day
"2015-02","PGKL","D","AZ","II","TT",2.3,20120,2015,2,1
"2015-02","PGKL","D","AZ","II","BMF",.1,20120,2015,2,1
"2015-02","PGKL","D","AZ","II","BTF",43.478261,20120,2015,2,1
"2015-02","PGKL","EG","IZ","II","TT",57.2,20120,2015,2,1
"2015-02","PGKL","EG","IZ","II","BMF",.7,20120,2015,2,1
"2015-02","PGKL","EG","IZ","II","BTF",12.237762,20120,2015,2,1
"2015-02","DG","K","IZ","II","TT",2426.6,20120,2015,2,1
"2015-02","DG","K","IZ","II","BMF",337.7,20120,2015,2,1
"2015-02","DG","K","IZ","II","BTF",139.16591,20120,2015,2,1
"2015-02","DG","K","IZ","IA","TT",5048.8,20120,2015,2,1
"2015-02","DG","K","IZ","IA","BMF",624.1,20120,2015,2,1
"2015-02","DG","K","IZ","IA","BTF",123.61353,20120,2015,2,1
"2015-02","DG","K","AZ","II","TT",317.6,20120,2015,2,1
"2015-02","DG","K","AZ","II","BMF",86.2,20120,2015,2,1
"2015-02","DG","K","AZ","II","BTF",271.41058,20120,2015,2,1
"2015-02","DG","D","IZ","II","TT",361.2,20120,2015,2,1
"2015-02","DG","D","IZ","II","BMF",25.9,20120,2015,2,1
"2015-02","DG","D","IZ","II","BTF",71.705426,20120,2015,2,1
"2015-02","DG","D","IZ","IA","TT",2.5,20120,2015,2,1
"2015-02","DG","D","IZ","IA","BMF",.2,20120,2015,2,1
"2015-02","DG","D","IZ","IA","BTF",80,20120,2015,2,1
"2015-02","DG","D","AZ","II","TT",9.5,20120,2015,2,1
"2015-02","DG","D","AZ","II","BMF",2.1,20120,2015,2,1
"2015-02","DG","D","AZ","II","BTF",221.05263,20120,2015,2,1
"2015-02","DG","EG","IZ","II","TT",94.4,20120,2015,2,1
"2015-02","DG","EG","IZ","II","BMF",7.7,20120,2015,2,1
"2015-02","DG","EG","IZ","II","BTF",81.567797,20120,2015,2,1
"2015-02","DG","EG","IZ","IA","TT",820.6,20120,2015,2,1
"2015-02","DG","EG","IZ","IA","BMF",48.5,20120,2015,2,1
"2015-02","DG","EG","IZ","IA","BTF",59.103095,20120,2015,2,1
"2015-02","BT","K","IZ","II","TT",300,20120,2015,2,1
"2015-02","BT","K","IZ","II","BMF",79.8,20120,2015,2,1
"2015-02","BT","K","IZ","II","BTF",266,20120,2015,2,1
"2015-02","BT","K","IZ","IA","TT",197,20120,2015,2,1
"2015-02","BT","K","IZ","IA","BMF",50.5,20120,2015,2,1
"2015-02","BT","K","IZ","IA","BTF",256.34518,20120,2015,2,1
"2015-02","BT","K","AZ","II","TT",324.5,20120,2015,2,1
"2015-02","BT","K","AZ","II","BMF",69.7,20120,2015,2,1
"2015-02","BT","K","AZ","II","BTF",214.79199,20120,2015,2,1
"2015-02","BT","D","IZ","II","TT",9410.8,20120,2015,2,1
"2015-02","BT","D","IZ","II","BMF",2072.3,20120,2015,2,1
"2015-02","BT","D","IZ","II","BTF",220.20445,20120,2015,2,1
"2015-02","BT","D","IZ","IA","TT",826.4,20120,2015,2,1
"2015-02","BT","D","IZ","IA","BMF",195.9,20120,2015,2,1
"2015-02","BT","D","IZ","IA","BTF",237.05227,20120,2015,2,1
"2015-02","BT","D","AZ","II","TT",121.4,20120,2015,2,1
"2015-02","BT","D","AZ","II","BMF",26.1,20120,2015,2,1
"2015-02","BT","D","AZ","II","BTF",214.99176,20120,2015,2,1
"2015-02","BT","EG","IZ","II","TT",34.1,20120,2015,2,1
"2015-02","BT","EG","IZ","II","BMF",9.1,20120,2015,2,1
"2015-02","BT","EG","IZ","II","BTF",266.86217,20120,2015,2,1
"2015-02","BT","EG","IZ","IA","TT",140.4,20120,2015,2,1
"2015-02","BT","EG","IZ","IA","BMF",57.3,20120,2015,2,1
"2015-02","BT","EG","IZ","IA","BTF",408.11966,20120,2015,2,1
"2015-02","BE","D","IZ","II","TT",,20120,2015,2,1
"2015-02","BE","D","IZ","II","BMF",,20120,2015,2,1
"2015-03","ZT","K","IZ","II","TT",14636,20148,2015,3,1
"2015-03","ZT","K","IZ","II","BMF",1631.3,20148,2015,3,1
"2015-03","ZT","K","IZ","II","BTF",111.45805,20148,2015,3,1
"2015-03","ZT","K","IZ","IA","TT",9275.1,20148,2015,3,1
"2015-03","ZT","K","IZ","IA","BMF",1338.6,20148,2015,3,1
"2015-03","ZT","K","IZ","IA","BTF",144.32189,20148,2015,3,1
"2015-03","ZT","K","AZ","II","TT",3678.2,20148,2015,3,1
"2015-03","ZT","K","AZ","II","BMF",665.7,20148,2015,3,1
"2015-03","ZT","K","AZ","II","BTF",180.98526,20148,2015,3,1
"2015-03","ZT","D","IZ","II","TT",52570.6,20148,2015,3,1
"2015-03","ZT","D","IZ","II","BMF",3387.7,20148,2015,3,1
"2015-03","ZT","D","IZ","II","BTF",64.440961,20148,2015,3,1
"2015-03","ZT","D","IZ","IA","TT",1882,20148,2015,3,1
"2015-03","ZT","D","IZ","IA","BMF",186.1,20148,2015,3,1
