"Date","Cardholder origin","Cardholder origin detail","Amount CHF","Number of transactions"
"2019-02-11","Foreign","USA",1513835.06,12187
"2019-02-12","Domestic","CHE",114493923.64,2264411
"2019-02-12","Foreign","AUT",257591.83,3413
"2019-02-12","Foreign","CHN",4853194.14,6203
"2019-02-12","Foreign","DEU",1766659.68,23408
"2019-02-12","Foreign","FRA",1973514.7,36830
"2019-02-12","Foreign","GBR",1986778.32,22476
"2019-02-12","Foreign","ITA",874757.01,13129
"2019-02-12","Foreign","LIE",212210.12,3009
"2019-02-12","Foreign","NLD",367293.14,4555
"2019-02-12","Foreign","RUS",532280.06,3419
"2019-02-12","Foreign","RoW",5676103.00000003,44956
"2019-02-12","Foreign","USA",1676726.02,11813
"2019-02-13","Domestic","CHE",119773110.69,2363397
"2019-02-13","Foreign","AUT",269770.5,3491
"2019-02-13","Foreign","CHN",4611146.55,5935
"2019-02-13","Foreign","DEU",1991727.48,24935
"2019-02-13","Foreign","FRA",2074978.96,38607
"2019-02-13","Foreign","GBR",1968665.52,23258
"2019-02-13","Foreign","ITA",895712.080000001,14081
"2019-02-13","Foreign","LIE",221792.65,3263
"2019-02-13","Foreign","NLD",399025.720000001,4713
"2019-02-13","Foreign","RUS",549075.36,3928
"2019-02-13","Foreign","RoW",5841521.89000001,47769
"2019-02-13","Foreign","USA",1555794.05,12233
"2019-02-14","Domestic","CHE",132677136.55,2569940
"2019-02-14","Foreign","AUT",323547.75,3659
"2019-02-14","Foreign","CHN",3551651.72,5938
"2019-02-14","Foreign","DEU",2221527.04,26432
"2019-02-14","Foreign","FRA",2344920.42,43526
"2019-02-14","Foreign","GBR",2354792.47,25177
"2019-02-14","Foreign","ITA",968493.58,15777
"2019-02-14","Foreign","LIE",218427.24,3317
