"Date","Agglomeration type","Merchant category","Amount CHF","Number of transactions"
"2021-03-30","Principle core: other","Transport services",1929733.63,24717
"2021-03-30","Secondary core","Accommodation",114228.86,687
"2021-03-30","Secondary core","Food and beverage services",209740.16,10511
"2021-03-30","Secondary core","Other",1079238.98,6522
"2021-03-30","Secondary core","Retail: Food, beverage, tobacco",6202851.59,140288
"2021-03-30","Secondary core","Retail: Fuel stations",1109074.03,32741
"2021-03-30","Secondary core","Retail: Other goods",5089252.32,56441
"2021-03-30","Secondary core","Transport services",585453.74,5916
"2021-03-31","9999","Food and beverage services",195,2
"2021-03-31","9999","Retail: Food, beverage, tobacco",3368.5,101
"2021-03-31","9999","Retail: Fuel stations",21804.17,663
"2021-03-31","9999","Retail: Other goods",817,4
"2021-03-31","Commuting zone","Accommodation",282908.09,1668
"2021-03-31","Commuting zone","Food and beverage services",217111.5,7005
"2021-03-31","Commuting zone","Other",1160565.34,7167
"2021-03-31","Commuting zone","Retail: Food, beverage, tobacco",9210281.46,179442
"2021-03-31","Commuting zone","Retail: Fuel stations",2063456.68,52268
"2021-03-31","Commuting zone","Retail: Other goods",4347290.92,51992
"2021-03-31","Commuting zone","Transport services",844234.53,4143
"2021-03-31","Municipality: core","Accommodation",566237.96,1699
"2021-03-31","Municipality: core","Food and beverage services",171392.56,7019
"2021-03-31","Municipality: core","Other",665175.93,4589
"2021-03-31","Municipality: core","Retail: Food, beverage, tobacco",7324802.27999999,151350
"2021-03-31","Municipality: core","Retail: Fuel stations",884528.42,24283
"2021-03-31","Municipality: core","Retail: Other goods",3986926.25,45733
"2021-03-31","Municipality: core","Transport services",428691.51,3772
"2021-03-31","Municipality: multiorientated","Accommodation",126763.85,499
"2021-03-31","Municipality: multiorientated","Food and beverage services",87813.6,2876
"2021-03-31","Municipality: multiorientated","Other",535809.93,3891
"2021-03-31","Municipality: multiorientated","Retail: Food, beverage, tobacco",5071326.21,94906
"2021-03-31","Municipality: multiorientated","Retail: Fuel stations",1214667.33,30041
"2021-03-31","Municipality: multiorientated","Retail: Other goods",2953292.72,31976
"2021-03-31","Municipality: multiorientated","Transport services",431611,1533
"2021-03-31","Municipality: rural","Accommodation",1682764.19,5444
"2021-03-31","Municipality: rural","Food and beverage services",354945.91,12596
"2021-03-31","Municipality: rural","Other",961155.74,6769
"2021-03-31","Municipality: rural","Retail: Food, beverage, tobacco",10320943.85,198025
"2021-03-31","Municipality: rural","Retail: Fuel stations",2142986.64,51006
"2021-03-31","Municipality: rural","Retail: Other goods",4533793.63,53201
"2021-03-31","Municipality: rural","Transport services",1418561.38,12373
"2021-03-31","Principle core: city","Accommodation",1313016.59,6182
"2021-03-31","Principle core: city","Food and beverage services",2304735.23,126548
"2021-03-31","Principle core: city","Other",6194020.5,46395
"2021-03-31","Principle core: city","Retail: Food, beverage, tobacco",32189163.49,929878
"2021-03-31","Principle core: city","Retail: Fuel stations",3278909.75,103390
"2021-03-31","Principle core: city","Retail: Other goods",29702018.14,330502
"2021-03-31","Principle core: city","Transport services",3056584.22,66439
"2021-03-31","Principle core: other","Accommodation",513623.59,2447
"2021-03-31","Principle core: other","Food and beverage services",729156.4,33563
"2021-03-31","Principle core: other","Other",3608084.78,20833
"2021-03-31","Principle core: other","Retail: Food, beverage, tobacco",23995860.99,461101
"2021-03-31","Principle core: other","Retail: Fuel stations",3382202.49,98836
"2021-03-31","Principle core: other","Retail: Other goods",15605138.88,170287
"2021-03-31","Principle core: other","Transport services",1998404.08,26959
"2021-03-31","Secondary core","Accommodation",90533.91,711
"2021-03-31","Secondary core","Food and beverage services",237862.98,11212
"2021-03-31","Secondary core","Other",1167138.94,7271
"2021-03-31","Secondary core","Retail: Food, beverage, tobacco",8446806.16,161290
"2021-03-31","Secondary core","Retail: Fuel stations",1220638.08,35158
"2021-03-31","Secondary core","Retail: Other goods",5774323.19000001,63908
"2021-03-31","Secondary core","Transport services",510207.62,6474
"2021-04-01","9999","Food and beverage services",130,1
"2021-04-01","9999","Retail: Food, beverage, tobacco",4081.75,110
"2021-04-01","9999","Retail: Fuel stations",23194.77,768
"2021-04-01","9999","Retail: Other goods",1776.9,6
"2021-04-01","Commuting zone","Accommodation",368462.77,1999
"2021-04-01","Commuting zone","Food and beverage services",306884.42,8358
"2021-04-01","Commuting zone","Other",1272634.9,7342
"2021-04-01","Commuting zone","Retail: Food, beverage, tobacco",13308960.68,231152
"2021-04-01","Commuting zone","Retail: Fuel stations",2425171.75,59414
"2021-04-01","Commuting zone","Retail: Other goods",4733195.96,57587
"2021-04-01","Commuting zone","Transport services",905894.16,4167
"2021-04-01","Municipality: core","Accommodation",829799.58,2007
"2021-04-01","Municipality: core","Food and beverage services",247044.38,8313
"2021-04-01","Municipality: core","Other",697632.92,4850
"2021-04-01","Municipality: core","Retail: Food, beverage, tobacco",9718253.66,187430
"2021-04-01","Municipality: core","Retail: Fuel stations",1046900.92,28294
"2021-04-01","Municipality: core","Retail: Other goods",4163418.08,47553
"2021-04-01","Municipality: core","Transport services",450162.53,3686
"2021-04-01","Municipality: multiorientated","Accommodation",153763.25,637
"2021-04-01","Municipality: multiorientated","Food and beverage services",112513.13,3160
"2021-04-01","Municipality: multiorientated","Other",488657.06,3742
"2021-04-01","Municipality: multiorientated","Retail: Food, beverage, tobacco",7254712.25,123157
"2021-04-01","Municipality: multiorientated","Retail: Fuel stations",1399644.34,34295
"2021-04-01","Municipality: multiorientated","Retail: Other goods",3497180.07,36152
"2021-04-01","Municipality: multiorientated","Transport services",455487.86,1418
"2021-04-01","Municipality: rural","Accommodation",2047886.23,6597
"2021-04-01","Municipality: rural","Food and beverage services",471525.96,14911
"2021-04-01","Municipality: rural","Other",1102632.01,7536
"2021-04-01","Municipality: rural","Retail: Food, beverage, tobacco",14677069.45,257124
"2021-04-01","Municipality: rural","Retail: Fuel stations",2567524.01,60462
"2021-04-01","Municipality: rural","Retail: Other goods",4952512.11,57693
"2021-04-01","Municipality: rural","Transport services",1786455.32,13508
"2021-04-01","Principle core: city","Accommodation",1574704.34,7433
"2021-04-01","Principle core: city","Food and beverage services",2697144.91,137736
"2021-04-01","Principle core: city","Other",6329940.02,47855
"2021-04-01","Principle core: city","Retail: Food, beverage, tobacco",44730791.57,1108129
"2021-04-01","Principle core: city","Retail: Fuel stations",3869846.12,119267
"2021-04-01","Principle core: city","Retail: Other goods",30862468.46,344382
"2021-04-01","Principle core: city","Transport services",3133250.14,67526
"2021-04-01","Principle core: other","Accommodation",759375.58,2667
"2021-04-01","Principle core: other","Food and beverage services",876064.88,36366
"2021-04-01","Principle core: other","Other",3708640.2,21066
"2021-04-01","Principle core: other","Retail: Food, beverage, tobacco",34649489.53,589014
"2021-04-01","Principle core: other","Retail: Fuel stations",3960244.86,111948
"2021-04-01","Principle core: other","Retail: Other goods",16462517.36,179335
"2021-04-01","Principle core: other","Transport services",2103698.13,28562
"2021-04-01","Secondary core","Accommodation",125611.87,799
"2021-04-01","Secondary core","Food and beverage services",279196.24,12187
"2021-04-01","Secondary core","Other",1165162.6,7200
"2021-04-01","Secondary core","Retail: Food, beverage, tobacco",12364816.98,210712
"2021-04-01","Secondary core","Retail: Fuel stations",1424313.71,39541
"2021-04-01","Secondary core","Retail: Other goods",6227862.24,70358
"2021-04-01","Secondary core","Transport services",427608.92,6928
"2021-04-02","9999","Food and beverage services",126,2
"2021-04-02","9999","Retail: Food, beverage, tobacco",433.35,19
"2021-04-02","9999","Retail: Fuel stations",23645.37,851
"2021-04-02","9999","Retail: Other goods",1821.7,16
"2021-04-02","Commuting zone","Accommodation",484930.41,2821
"2021-04-02","Commuting zone","Food and beverage services",315558.56,7961
"2021-04-02","Commuting zone","Other",318175.1,3118
"2021-04-02","Commuting zone","Retail: Food, beverage, tobacco",1621873.65,38449
"2021-04-02","Commuting zone","Retail: Fuel stations",2354901.07,63692
"2021-04-02","Commuting zone","Retail: Other goods",735945.76,9027
"2021-04-02","Commuting zone","Transport services",314394.09,3528
"2021-04-02","Municipality: core","Accommodation",1118486.69,2740
"2021-04-02","Municipality: core","Food and beverage services",304654.61,7837
"2021-04-02","Municipality: core","Other",170502.3,2157
"2021-04-02","Municipality: core","Retail: Food, beverage, tobacco",1143344.69,62994
"2021-04-02","Municipality: core","Retail: Fuel stations",1002795.89,29443
"2021-04-02","Municipality: core","Retail: Other goods",1050200.94,6884
"2021-04-02","Municipality: core","Transport services",360001.92,3958
"2021-04-02","Municipality: multiorientated","Accommodation",198292.26,1052
"2021-04-02","Municipality: multiorientated","Food and beverage services",139538.7,4508
"2021-04-02","Municipality: multiorientated","Other",109020.19,1373
"2021-04-02","Municipality: multiorientated","Retail: Food, beverage, tobacco",622709.7,14270
"2021-04-02","Municipality: multiorientated","Retail: Fuel stations",1293356.87,34744
"2021-04-02","Municipality: multiorientated","Retail: Other goods",605099.3,4706
"2021-04-02","Municipality: multiorientated","Transport services",108172,704
"2021-04-02","Municipality: rural","Accommodation",2684959.23,11867
"2021-04-02","Municipality: rural","Food and beverage services",856038.24,24086
"2021-04-02","Municipality: rural","Other",393711.57,5067
"2021-04-02","Municipality: rural","Retail: Food, beverage, tobacco",2569276.18,64310
"2021-04-02","Municipality: rural","Retail: Fuel stations",2474896.26,65095
"2021-04-02","Municipality: rural","Retail: Other goods",1448119.2,12365
"2021-04-02","Municipality: rural","Transport services",2222276.45,23918
"2021-04-02","Principle core: city","Accommodation",1925833.11,8448
"2021-04-02","Principle core: city","Food and beverage services",1783063.21,70863
"2021-04-02","Principle core: city","Other",1301507.12,15128
"2021-04-02","Principle core: city","Retail: Food, beverage, tobacco",8055733.48,270806
"2021-04-02","Principle core: city","Retail: Fuel stations",3817936.31,120902
"2021-04-02","Principle core: city","Retail: Other goods",4750594.72999999,58829
"2021-04-02","Principle core: city","Transport services",530366.88,23924
"2021-04-02","Principle core: other","Accommodation",654433.84,2456
"2021-04-02","Principle core: other","Food and beverage services",582314.48,19213
"2021-04-02","Principle core: other","Other",727298.51,5453
"2021-04-02","Principle core: other","Retail: Food, beverage, tobacco",3619988.58,82007
"2021-04-02","Principle core: other","Retail: Fuel stations",3871322.5,118385
"2021-04-02","Principle core: other","Retail: Other goods",1745820.76,21802
"2021-04-02","Principle core: other","Transport services",324097.12,12605
"2021-04-02","Secondary core","Accommodation",99831.56,1075
"2021-04-02","Secondary core","Food and beverage services",181650.24,5647
"2021-04-02","Secondary core","Other",155373.51,1264
"2021-04-02","Secondary core","Retail: Food, beverage, tobacco",1001698.65,27212
"2021-04-02","Secondary core","Retail: Fuel stations",1394813.25,42553
"2021-04-02","Secondary core","Retail: Other goods",1210883.76,11203
"2021-04-02","Secondary core","Transport services",43509.4,620
"2021-04-03","9999","Retail: Food, beverage, tobacco",4804.8,121
"2021-04-03","9999","Retail: Fuel stations",19762.48,581
"2021-04-03","9999","Retail: Other goods",3689.2,26
"2021-04-03","Commuting zone","Accommodation",464374.89,2540
"2021-04-03","Commuting zone","Food and beverage services",336415.46,7231
"2021-04-03","Commuting zone","Other",502436.2,4747
"2021-04-03","Commuting zone","Retail: Food, beverage, tobacco",13750207.22,238191
"2021-04-03","Commuting zone","Retail: Fuel stations",1988172.66,46423
"2021-04-03","Commuting zone","Retail: Other goods",6757801.05,77891
"2021-04-03","Commuting zone","Transport services",738003.68,5354
"2021-04-03","Municipality: core","Accommodation",985843.52,2831
"2021-04-03","Municipality: core","Food and beverage services",371950.06,9777
"2021-04-03","Municipality: core","Other",431833.33,3714
"2021-04-03","Municipality: core","Retail: Food, beverage, tobacco",10237399.76,190439
"2021-04-03","Municipality: core","Retail: Fuel stations",919104.24,22770
"2021-04-03","Municipality: core","Retail: Other goods",6601220.12,72550
"2021-04-03","Municipality: core","Transport services",549296.92,5480
"2021-04-03","Municipality: multiorientated","Accommodation",178022.72,896
"2021-04-03","Municipality: multiorientated","Food and beverage services",140152.8,3456
"2021-04-03","Municipality: multiorientated","Other",250997.75,2599
"2021-04-03","Municipality: multiorientated","Retail: Food, beverage, tobacco",7485896.93,126054
"2021-04-03","Municipality: multiorientated","Retail: Fuel stations",1259375.17,28889
"2021-04-03","Municipality: multiorientated","Retail: Other goods",5040109.27,51037
"2021-04-03","Municipality: multiorientated","Transport services",291488.67,933
"2021-04-03","Municipality: rural","Accommodation",2804056.2,11081
"2021-04-03","Municipality: rural","Food and beverage services",861069.02,23361
"2021-04-03","Municipality: rural","Other",753097.26,7165
"2021-04-03","Municipality: rural","Retail: Food, beverage, tobacco",16773958.72,300585
"2021-04-03","Municipality: rural","Retail: Fuel stations",2326578.78,51790
"2021-04-03","Municipality: rural","Retail: Other goods",8007100.70000001,88292
"2021-04-03","Municipality: rural","Transport services",2588692.94,24121
"2021-04-03","Principle core: city","Accommodation",2174239.51,9585
"2021-04-03","Principle core: city","Food and beverage services",2009059.72,77222
"2021-04-03","Principle core: city","Other",3434718.81,33116
"2021-04-03","Principle core: city","Retail: Food, beverage, tobacco",46844219.19,1012007
"2021-04-03","Principle core: city","Retail: Fuel stations",3303554.83,91193
"2021-04-03","Principle core: city","Retail: Other goods",43578063.6699999,470932
"2021-04-03","Principle core: city","Transport services",2117504.57,61642
"2021-04-03","Principle core: other","Accommodation",652746.43,2781
"2021-04-03","Principle core: other","Food and beverage services",684860.88,22861
"2021-04-03","Principle core: other","Other",1698901.42,12327
"2021-04-03","Principle core: other","Retail: Food, beverage, tobacco",37037460.65,608312
"2021-04-03","Principle core: other","Retail: Fuel stations",3235490.98,84564
"2021-04-03","Principle core: other","Retail: Other goods",24819924.02,256474
"2021-04-03","Principle core: other","Transport services",1185860.59,24810
"2021-04-03","Secondary core","Accommodation",152267.81,987
"2021-04-03","Secondary core","Food and beverage services",218799.02,7390
"2021-04-03","Secondary core","Other",633153.3,4479
"2021-04-03","Secondary core","Retail: Food, beverage, tobacco",12374728.87,210245
"2021-04-03","Secondary core","Retail: Fuel stations",1168898.98,30252
"2021-04-03","Secondary core","Retail: Other goods",9145006.3,96813
"2021-04-03","Secondary core","Transport services",266249.69,7142
"2021-04-04","9999","Retail: Fuel stations",16781.74,588
"2021-04-04","9999","Retail: Other goods",2403.6,24
"2021-04-04","Commuting zone","Accommodation",544479.92,2677
"2021-04-04","Commuting zone","Food and beverage services",260454.73,5843
"2021-04-04","Commuting zone","Other",167966.15,2356
"2021-04-04","Commuting zone","Retail: Food, beverage, tobacco",628974.78,22698
"2021-04-04","Commuting zone","Retail: Fuel stations",1706148.41,47489
"2021-04-04","Commuting zone","Retail: Other goods",167545.2,2386
"2021-04-04","Commuting zone","Transport services",194970.45,3365
"2021-04-04","Municipality: core","Accommodation",1518175.52,3232
"2021-04-04","Municipality: core","Food and beverage services",300938.6,7686
"2021-04-04","Municipality: core","Other",102359.38,1571
"2021-04-04","Municipality: core","Retail: Food, beverage, tobacco",659055.18,48186
"2021-04-04","Municipality: core","Retail: Fuel stations",807438.54,23368
"2021-04-04","Municipality: core","Retail: Other goods",650634.88,5225
"2021-04-04","Municipality: core","Transport services",322147.84,4018
"2021-04-04","Municipality: multiorientated","Accommodation",284558.15,1117
"2021-04-04","Municipality: multiorientated","Food and beverage services",127444.9,3358
"2021-04-04","Municipality: multiorientated","Other",43531.3,1086
"2021-04-04","Municipality: multiorientated","Retail: Food, beverage, tobacco",232015.85,8018
"2021-04-04","Municipality: multiorientated","Retail: Fuel stations",1061249.7,28114
"2021-04-04","Municipality: multiorientated","Retail: Other goods",58919.15,1068
"2021-04-04","Municipality: multiorientated","Transport services",17228.46,480
"2021-04-04","Municipality: rural","Accommodation",3710244.33,13642
"2021-04-04","Municipality: rural","Food and beverage services",849645.27,23600
"2021-04-04","Municipality: rural","Other",266180.95,4068
"2021-04-04","Municipality: rural","Retail: Food, beverage, tobacco",1127247.33,40992
"2021-04-04","Municipality: rural","Retail: Fuel stations",2018435.46,51278
"2021-04-04","Municipality: rural","Retail: Other goods",1029014.02,9451
"2021-04-04","Municipality: rural","Transport services",2284921.21,25598
"2021-04-04","Principle core: city","Accommodation",2930689.08,8499
"2021-04-04","Principle core: city","Food and beverage services",1206255.93,45353
"2021-04-04","Principle core: city","Other",485597.58,10199
"2021-04-04","Principle core: city","Retail: Food, beverage, tobacco",2629842.26,148186
"2021-04-04","Principle core: city","Retail: Fuel stations",2928373.11,94855
"2021-04-04","Principle core: city","Retail: Other goods",624070.59,15591
"2021-04-04","Principle core: city","Transport services",243893.55,18490
"2021-04-04","Principle core: other","Accommodation",725155.42,2445
"2021-04-04","Principle core: other","Food and beverage services",466347.67,13704
"2021-04-04","Principle core: other","Other",291221.23,3429
"2021-04-04","Principle core: other","Retail: Food, beverage, tobacco",896244.9,37824
"2021-04-04","Principle core: other","Retail: Fuel stations",2861871.3,90820
"2021-04-04","Principle core: other","Retail: Other goods",410927.14,5303
"2021-04-04","Principle core: other","Transport services",204940.24,10590
"2021-04-04","Secondary core","Accommodation",149591.27,959
"2021-04-04","Secondary core","Food and beverage services",133492.29,3792
"2021-04-04","Secondary core","Other",37743.38,744
"2021-04-04","Secondary core","Retail: Food, beverage, tobacco",318617.07,15746
"2021-04-04","Secondary core","Retail: Fuel stations",1088069.55,34619
"2021-04-04","Secondary core","Retail: Other goods",34677.7,769
"2021-04-04","Secondary core","Transport services",3600.22,431
"2021-04-05","9999","Food and beverage services",25,1
"2021-04-05","9999","Retail: Fuel stations",16855.19,602
"2021-04-05","9999","Retail: Other goods",3973.4,32
"2021-04-05","Commuting zone","Accommodation",745982.46,2523
"2021-04-05","Commuting zone","Food and beverage services",213287.03,5073
"2021-04-05","Commuting zone","Other",153569.61,2591
"2021-04-05","Commuting zone","Retail: Food, beverage, tobacco",1031171.64,29165
"2021-04-05","Commuting zone","Retail: Fuel stations",1773944.37,48201
"2021-04-05","Commuting zone","Retail: Other goods",918504.04,9306
"2021-04-05","Commuting zone","Transport services",137699.5,2266
"2021-04-05","Municipality: core","Accommodation",2774572.46,2935
"2021-04-05","Municipality: core","Food and beverage services",176159.88,4941
"2021-04-05","Municipality: core","Other",101530.8,1613
"2021-04-05","Municipality: core","Retail: Food, beverage, tobacco",799240.53,46513
"2021-04-05","Municipality: core","Retail: Fuel stations",839965.98,24046
"2021-04-05","Municipality: core","Retail: Other goods",1135159.15,9489
"2021-04-05","Municipality: core","Transport services",219559.92,2478
"2021-04-05","Municipality: multiorientated","Accommodation",396003.71,928
"2021-04-05","Municipality: multiorientated","Food and beverage services",104907.42,2971
"2021-04-05","Municipality: multiorientated","Other",48944.2,1123
"2021-04-05","Municipality: multiorientated","Retail: Food, beverage, tobacco",554509.25,14444
"2021-04-05","Municipality: multiorientated","Retail: Fuel stations",1106716.01,28918
"2021-04-05","Municipality: multiorientated","Retail: Other goods",432153.47,4392
"2021-04-05","Municipality: multiorientated","Transport services",21758.98,256
"2021-04-05","Municipality: rural","Accommodation",6536794.69,11083
"2021-04-05","Municipality: rural","Food and beverage services",561565.17,14853
"2021-04-05","Municipality: rural","Other",296180.91,3600
"2021-04-05","Municipality: rural","Retail: Food, beverage, tobacco",1716686.72,52138
"2021-04-05","Municipality: rural","Retail: Fuel stations",2187868.76,52572
"2021-04-05","Municipality: rural","Retail: Other goods",1971241.05,18164
"2021-04-05","Municipality: rural","Transport services",1700026.23,15155
"2021-04-05","Principle core: city","Accommodation",3464194.78,6802
"2021-04-05","Principle core: city","Food and beverage services",1123738.52,45276
"2021-04-05","Principle core: city","Other",609457.55,10476
"2021-04-05","Principle core: city","Retail: Food, beverage, tobacco",4177657,187821
"2021-04-05","Principle core: city","Retail: Fuel stations",3002318.34,98623
"2021-04-05","Principle core: city","Retail: Other goods",3424708.67,45211
"2021-04-05","Principle core: city","Transport services",257011.04,16734
"2021-04-05","Principle core: other","Accommodation",982918.3,2102
"2021-04-05","Principle core: other","Food and beverage services",416085.15,13841
"2021-04-05","Principle core: other","Other",469312.7,4389
"2021-04-05","Principle core: other","Retail: Food, beverage, tobacco",1732971.3,58796
"2021-04-05","Principle core: other","Retail: Fuel stations",2936841.86,93606
"2021-04-05","Principle core: other","Retail: Other goods",2652786.35,27937
"2021-04-05","Principle core: other","Transport services",208192.6,12009
"2021-04-05","Secondary core","Accommodation",164991.87,782
"2021-04-05","Secondary core","Food and beverage services",134203.18,4247
"2021-04-05","Secondary core","Other",72207.45,979
"2021-04-05","Secondary core","Retail: Food, beverage, tobacco",523305.98,20343
"2021-04-05","Secondary core","Retail: Fuel stations",1072379.88,33967
"2021-04-05","Secondary core","Retail: Other goods",924526.92,8810
"2021-04-05","Secondary core","Transport services",12161.35,433
"2021-04-06","9999","Food and beverage services",76.5,1
"2021-04-06","9999","Retail: Food, beverage, tobacco",2038.65,69
"2021-04-06","9999","Retail: Fuel stations",16929.96,483
"2021-04-06","9999","Retail: Other goods",1120.8,12
"2021-04-06","Commuting zone","Accommodation",371895.4,1510
"2021-04-06","Commuting zone","Food and beverage services",159080.59,5209
"2021-04-06","Commuting zone","Other",994657.23,6042
"2021-04-06","Commuting zone","Retail: Food, beverage, tobacco",6554948.55,154547
"2021-04-06","Commuting zone","Retail: Fuel stations",1746959.41,41731
"2021-04-06","Commuting zone","Retail: Other goods",3888658.21,46260
"2021-04-06","Commuting zone","Transport services",962805.05,4289
"2021-04-06","Municipality: core","Accommodation",579951.31,1249
"2021-04-06","Municipality: core","Food and beverage services",135160.51,4819
"2021-04-06","Municipality: core","Other",511957.89,3784
"2021-04-06","Municipality: core","Retail: Food, beverage, tobacco",4572959.29,121687
"2021-04-06","Municipality: core","Retail: Fuel stations",723053.51,19116
"2021-04-06","Municipality: core","Retail: Other goods",3590561.48,40175
"2021-04-06","Municipality: core","Transport services",436330.85,3044
"2021-04-06","Municipality: multiorientated","Accommodation",134344.05,422
"2021-04-06","Municipality: multiorientated","Food and beverage services",58172.95,1966
"2021-04-06","Municipality: multiorientated","Other",428457.82,3218
"2021-04-06","Municipality: multiorientated","Retail: Food, beverage, tobacco",3453241.25,79921
"2021-04-06","Municipality: multiorientated","Retail: Fuel stations",1027443.15,24268
"2021-04-06","Municipality: multiorientated","Retail: Other goods",3161354.12,30534
"2021-04-06","Municipality: multiorientated","Transport services",605352.16,1730
"2021-04-06","Municipality: rural","Accommodation",1369590.74,3830
"2021-04-06","Municipality: rural","Food and beverage services",237739.01,7260
"2021-04-06","Municipality: rural","Other",853452.44,6019
"2021-04-06","Municipality: rural","Retail: Food, beverage, tobacco",7312478.77,168891
"2021-04-06","Municipality: rural","Retail: Fuel stations",1885022.1,41772
"2021-04-06","Municipality: rural","Retail: Other goods",4012008.91,45653
"2021-04-06","Municipality: rural","Transport services",1532697.84,8653
"2021-04-06","Principle core: city","Accommodation",1570847.04,5811
"2021-04-06","Principle core: city","Food and beverage services",1656070.03,94905
"2021-04-06","Principle core: city","Other",5221834.94,41799
"2021-04-06","Principle core: city","Retail: Food, beverage, tobacco",24922100.94,816090
"2021-04-06","Principle core: city","Retail: Fuel stations",2683593.24,81632
"2021-04-06","Principle core: city","Retail: Other goods",26264801.08,297447
"2021-04-06","Principle core: city","Transport services",3625270.9,60385
"2021-04-06","Principle core: other","Accommodation",480298.09,1904
"2021-04-06","Principle core: other","Food and beverage services",528532.3,25691
"2021-04-06","Principle core: other","Other",2935278.82,17306
"2021-04-06","Principle core: other","Retail: Food, beverage, tobacco",17383798.17,406449
"2021-04-06","Principle core: other","Retail: Fuel stations",2764451.36,79033
"2021-04-06","Principle core: other","Retail: Other goods",14649554.17,160523
"2021-04-06","Principle core: other","Transport services",2232509.96,26366
"2021-04-06","Secondary core","Accommodation",77109.7,343
"2021-04-06","Secondary core","Food and beverage services",172869.46,8617
"2021-04-06","Secondary core","Other",972520.73,6132
"2021-04-06","Secondary core","Retail: Food, beverage, tobacco",5873390.73,139201
"2021-04-06","Secondary core","Retail: Fuel stations",966702.28,27225
"2021-04-06","Secondary core","Retail: Other goods",5353756.33,59513
"2021-04-06","Secondary core","Transport services",484824.04,6502
"2021-04-07","9999","Retail: Food, beverage, tobacco",3065.35,91
"2021-04-07","9999","Retail: Fuel stations",16026.48,462
"2021-04-07","9999","Retail: Other goods",849.05,13
"2021-04-07","Commuting zone","Accommodation",309630.3,1527
"2021-04-07","Commuting zone","Food and beverage services",194453.24,6077
"2021-04-07","Commuting zone","Other",971259.42,6069
"2021-04-07","Commuting zone","Retail: Food, beverage, tobacco",5822185.23,140608
"2021-04-07","Commuting zone","Retail: Fuel stations",1748618.13,41801
"2021-04-07","Commuting zone","Retail: Other goods",3741318.98,43976
"2021-04-07","Commuting zone","Transport services",666510.14,3653
"2021-04-07","Municipality: core","Accommodation",451971.82,1216
"2021-04-07","Municipality: core","Food and beverage services",133662.05,4684
"2021-04-07","Municipality: core","Other",515746.94,3572
"2021-04-07","Municipality: core","Retail: Food, beverage, tobacco",4132942.99,112311
"2021-04-07","Municipality: core","Retail: Fuel stations",721643.67,18972
"2021-04-07","Municipality: core","Retail: Other goods",3538111.73,39815
"2021-04-07","Municipality: core","Transport services",301324.17,2670
"2021-04-07","Municipality: multiorientated","Accommodation",123081.7,467
"2021-04-07","Municipality: multiorientated","Food and beverage services",64851.85,2139
"2021-04-07","Municipality: multiorientated","Other",418775.69,3276
"2021-04-07","Municipality: multiorientated","Retail: Food, beverage, tobacco",3091131.58,72430
"2021-04-07","Municipality: multiorientated","Retail: Fuel stations",1039258.46,24454
"2021-04-07","Municipality: multiorientated","Retail: Other goods",2796063.16,28373
"2021-04-07","Municipality: multiorientated","Transport services",339607.39,1361
"2021-04-07","Municipality: rural","Accommodation",1218196.78,3616
"2021-04-07","Municipality: rural","Food and beverage services",252600.38,7154
"2021-04-07","Municipality: rural","Other",740943.45,5752
"2021-04-07","Municipality: rural","Retail: Food, beverage, tobacco",6436901.91,150210
"2021-04-07","Municipality: rural","Retail: Fuel stations",1821282.68,40689
"2021-04-07","Municipality: rural","Retail: Other goods",3917978.87,43788
"2021-04-07","Municipality: rural","Transport services",1083297.51,7273
"2021-04-07","Principle core: city","Accommodation",1619893.91,6235
"2021-04-07","Principle core: city","Food and beverage services",1788226.72,98148
"2021-04-07","Principle core: city","Other",5290154.96,42510
"2021-04-07","Principle core: city","Retail: Food, beverage, tobacco",22025757.67,746595
"2021-04-07","Principle core: city","Retail: Fuel stations",2704936.17,81600
"2021-04-07","Principle core: city","Retail: Other goods",27399084.56,298719
"2021-04-07","Principle core: city","Transport services",2630729.94,59108
"2021-04-07","Principle core: other","Accommodation",432424.59,2129
"2021-04-07","Principle core: other","Food and beverage services",598306.25,26633
"2021-04-07","Principle core: other","Other",2920012.4,17107
"2021-04-07","Principle core: other","Retail: Food, beverage, tobacco",15311168.19,365043
"2021-04-07","Principle core: other","Retail: Fuel stations",2778486.29,78160
"2021-04-07","Principle core: other","Retail: Other goods",14056247.66,155405
"2021-04-07","Principle core: other","Transport services",1563432.1,24503
"2021-04-07","Secondary core","Accommodation",71967.71,364
"2021-04-07","Secondary core","Food and beverage services",194123.46,9058
"2021-04-07","Secondary core","Other",971794.68,6054
"2021-04-07","Secondary core","Retail: Food, beverage, tobacco",5269309.58,126206
"2021-04-07","Secondary core","Retail: Fuel stations",991489.01,27571
"2021-04-07","Secondary core","Retail: Other goods",5398810.7,59634
"2021-04-07","Secondary core","Transport services",385601.34,6009
"2021-04-08","9999","Food and beverage services",20,1
"2021-04-08","9999","Retail: Food, beverage, tobacco",1998.45,82
"2021-04-08","9999","Retail: Fuel stations",16355.16,528
"2021-04-08","9999","Retail: Other goods",983.5,7
"2021-04-08","Commuting zone","Accommodation",380395.3,1907
"2021-04-08","Commuting zone","Food and beverage services",248685.16,7350
"2021-04-08","Commuting zone","Other",1060055.74,7127
"2021-04-08","Commuting zone","Retail: Food, beverage, tobacco",5906486.87,143965
"2021-04-08","Commuting zone","Retail: Fuel stations",1859962.16,45719
