"X","FINALPROCESSINGDATE","TYPE","KANTON","GROSSREGION","COUNTRY","NTRX","ISSUINGBASEAMOUNT","ATV"
40,"01-APR-20","ATM Withdraws","OW",6,"CHE",353,163668,463.65
41,"01-APR-20","ATM Withdraws","SG",5,"CHE",14881,7192582,483.34
42,"01-APR-20","ATM Withdraws","SH",5,"CHE",1928,1021171,529.65
43,"01-APR-20","ATM Withdraws","SO",2,"CHE",5364,3148454,586.96
44,"01-APR-20","ATM Withdraws","SZ",6,"CHE",4066,2086427,513.14
45,"01-APR-20","ATM Withdraws","TG",5,"CHE",8000,4073494,509.19
46,"01-APR-20","ATM Withdraws","TI",7,"CHE",7302,7005072,959.34
47,"01-APR-20","ATM Withdraws","UR",6,"CHE",853,421361,493.98
48,"01-APR-20","ATM Withdraws","VD",1,"CHE",17790,14088399,791.93
49,"01-APR-20","ATM Withdraws","VS",1,"CHE",8056,5080109,630.6
50,"01-APR-20","ATM Withdraws","ZG",6,"CHE",922,557686,604.87
51,"01-APR-20","ATM Withdraws","ZH",4,"CHE",26486,18632726,703.49
52,"01-APR-21","ATM Deposits","99",99,"CHE",7,12200,1742.86
53,"01-APR-21","ATM Deposits","AG",3,"CHE",1307,2102413,1608.58
54,"01-APR-21","ATM Deposits","AR",5,"CHE",148,239716,1619.7
55,"01-APR-21","ATM Deposits","BE",2,"CHE",2295,3802537,1656.88
56,"01-APR-21","ATM Deposits","BL",3,"CHE",514,977138,1901.05
57,"01-APR-21","ATM Deposits","BS",3,"CHE",580,840095,1448.44
58,"01-APR-21","ATM Deposits","FR",2,"CHE",688,1210422,1759.33
59,"01-APR-21","ATM Deposits","GE",1,"CHE",2535,3771581,1487.8
60,"01-APR-21","ATM Deposits","GL",5,"CHE",21,68370,3255.71
61,"01-APR-21","ATM Deposits","GR",5,"CHE",337,484895,1438.86
62,"01-APR-21","ATM Deposits","JU",2,"CHE",229,393625,1718.89
63,"01-APR-21","ATM Deposits","LU",6,"CHE",1638,2411960,1472.5
64,"01-APR-21","ATM Deposits","NE",2,"CHE",824,1160699,1408.62
65,"01-APR-21","ATM Deposits","NW",6,"CHE",37,68439,1849.7
66,"01-APR-21","ATM Deposits","OW",6,"CHE",41,58197,1419.44
67,"01-APR-21","ATM Deposits","SG",5,"CHE",1414,2558798,1809.62
68,"01-APR-21","ATM Deposits","SH",5,"CHE",260,375591,1444.58
69,"01-APR-21","ATM Deposits","SO",2,"CHE",648,1213658,1872.93
70,"01-APR-21","ATM Deposits","SZ",6,"CHE",750,1222054,1629.41
71,"01-APR-21","ATM Deposits","TG",5,"CHE",852,1479209,1736.16
72,"01-APR-21","ATM Deposits","TI",7,"CHE",1552,2302441,1483.53
73,"01-APR-21","ATM Deposits","UR",6,"CHE",46,68124,1480.96
74,"01-APR-21","ATM Deposits","VD",1,"CHE",4289,7098935,1655.15
75,"01-APR-21","ATM Deposits","VS",1,"CHE",1181,1697642,1437.46
