"Date","Cardholder origin","Merchant category","Amount CHF","Number of transactions"
"2020-12-24","Foreign","Retail: Fuel stations",340203.07,7733
"2020-12-24","Foreign","Retail: Other goods",4457452.69,26995
"2020-12-24","Foreign","Transport services",511940.880000001,10622
"2020-12-25","Domestic","Accommodation",2338495.34,8432
"2020-12-25","Domestic","Entertainment and sports",842840.13,10389
"2020-12-25","Domestic","Food and beverage services",1368305.15,30324
"2020-12-25","Domestic","Human health services",191750.56,1975
"2020-12-25","Domestic","Other",821183.39,6933
"2020-12-25","Domestic","Personal services",61267.85,586
"2020-12-25","Domestic","Professional services",1777654.18,23656
"2020-12-25","Domestic","Retail: Food, beverage, tobacco",1927053.7,81317
"2020-12-25","Domestic","Retail: Fuel stations",5239842.54,113424
"2020-12-25","Domestic","Retail: Other goods",5587545.1,42963
"2020-12-25","Domestic","Transport services",2700871.52,90085
"2020-12-25","Foreign","Accommodation",1144402.15,2214
"2020-12-25","Foreign","Entertainment and sports",36674.36,307
"2020-12-25","Foreign","Food and beverage services",244153.48,4423
"2020-12-25","Foreign","Human health services",36217.87,217
"2020-12-25","Foreign","Other",26899.81,135
"2020-12-25","Foreign","Personal services",21107.58,417
"2020-12-25","Foreign","Professional services",512046.33,2682
"2020-12-25","Foreign","Retail: Food, beverage, tobacco",169855.51,5494
"2020-12-25","Foreign","Retail: Fuel stations",144456.66,3334
"2020-12-25","Foreign","Retail: Other goods",667155.430000001,4736
"2020-12-25","Foreign","Transport services",514235.409999999,7605
"2020-12-26","Domestic","Accommodation",4254604.32,17301
"2020-12-26","Domestic","Entertainment and sports",1108427.72,15157
"2020-12-26","Domestic","Food and beverage services",3831190.99,84815
"2020-12-26","Domestic","Human health services",416204.65,2806
"2020-12-26","Domestic","Other",1078653.87,10075
"2020-12-26","Domestic","Personal services",159211.85,1560
"2020-12-26","Domestic","Professional services",1946684.24,20081
"2020-12-26","Domestic","Retail: Food, beverage, tobacco",13830489.12,329702
"2020-12-26","Domestic","Retail: Fuel stations",6840236.89,142283
"2020-12-26","Domestic","Retail: Other goods",18245855.29,177073
"2020-12-26","Domestic","Transport services",5057290.68,141828
"2020-12-26","Foreign","Accommodation",2068064.41,3655
"2020-12-26","Foreign","Entertainment and sports",52312.53,592
"2020-12-26","Foreign","Food and beverage services",460291.7,9675
"2020-12-26","Foreign","Human health services",65106.56,323
"2020-12-26","Foreign","Other",36560.45,203
"2020-12-26","Foreign","Personal services",19990.63,419
"2020-12-26","Foreign","Professional services",549383.37,3368
"2020-12-26","Foreign","Retail: Food, beverage, tobacco",587456.590000001,14025
"2020-12-26","Foreign","Retail: Fuel stations",270499.66,5562
"2020-12-26","Foreign","Retail: Other goods",1185078.05,8957
"2020-12-26","Foreign","Transport services",1007052.97,12872
"2020-12-27","Domestic","Accommodation",4266045.95,12825
"2020-12-27","Domestic","Entertainment and sports",976797.82,12866
"2020-12-27","Domestic","Food and beverage services",1920488.19,60640
"2020-12-27","Domestic","Human health services",166915.68,1884
"2020-12-27","Domestic","Other",1202052.88,10173
"2020-12-27","Domestic","Personal services",55029.38,467
"2020-12-27","Domestic","Professional services",2171253.76,21110
"2020-12-27","Domestic","Retail: Food, beverage, tobacco",3617492.4,147035
"2020-12-27","Domestic","Retail: Fuel stations",5983327.82,132689
"2020-12-27","Domestic","Retail: Other goods",8205192.69000001,62446
"2020-12-27","Domestic","Transport services",4249657.26,113340
"2020-12-27","Foreign","Accommodation",1932577.66,3095
"2020-12-27","Foreign","Entertainment and sports",56201.85,511
"2020-12-27","Foreign","Food and beverage services",241667.29,7320
"2020-12-27","Foreign","Human health services",78237.12,272
"2020-12-27","Foreign","Other",52192.13,225
"2020-12-27","Foreign","Personal services",21002.19,408
"2020-12-27","Foreign","Professional services",498085.66,3204
"2020-12-27","Foreign","Retail: Food, beverage, tobacco",395222.660000001,10535
"2020-12-27","Foreign","Retail: Fuel stations",240815.54,5491
"2020-12-27","Foreign","Retail: Other goods",854609.220000001,5677
"2020-12-27","Foreign","Transport services",1003298.81,10893
"2020-12-28","Domestic","Accommodation",3568480.4,11782
"2020-12-28","Domestic","Entertainment and sports",1157753.08,13866
"2020-12-28","Domestic","Food and beverage services",2044447.81,80436
"2020-12-28","Domestic","Human health services",1792747.1,9621
"2020-12-28","Domestic","Other",3725151.07,21199
"2020-12-28","Domestic","Personal services",1331869,13488
"2020-12-28","Domestic","Professional services",4964832.8,51516
"2020-12-28","Domestic","Retail: Food, beverage, tobacco",88768689.08,1754064
"2020-12-28","Domestic","Retail: Fuel stations",9955964.07999999,236147
"2020-12-28","Domestic","Retail: Other goods",98032952.9999999,909060
"2020-12-28","Domestic","Transport services",4478337.66000001,182529
"2020-12-28","Foreign","Accommodation",1656955.66,2907
"2020-12-28","Foreign","Entertainment and sports",75249.56,538
"2020-12-28","Foreign","Food and beverage services",196285.54,7157
"2020-12-28","Foreign","Human health services",162132.58,646
"2020-12-28","Foreign","Other",153817.52,560
"2020-12-28","Foreign","Personal services",50976.21,702
"2020-12-28","Foreign","Professional services",1153943.02,5873
"2020-12-28","Foreign","Retail: Food, beverage, tobacco",2576019.15,52668
"2020-12-28","Foreign","Retail: Fuel stations",397046.930000001,8981
"2020-12-28","Foreign","Retail: Other goods",5198471.68,32487
"2020-12-28","Foreign","Transport services",796421.38,14698
"2020-12-29","Domestic","Accommodation",4060029,15262
"2020-12-29","Domestic","Entertainment and sports",1228045.43,16699
"2020-12-29","Domestic","Food and beverage services",2454307.07,91223
"2020-12-29","Domestic","Human health services",2292152.57,10348
"2020-12-29","Domestic","Other",3865743.12,22209
"2020-12-29","Domestic","Personal services",2383293.89,22755
"2020-12-29","Domestic","Professional services",4216504.59,43842
"2020-12-29","Domestic","Retail: Food, beverage, tobacco",84193086.3500001,1629213
"2020-12-29","Domestic","Retail: Fuel stations",9811139.65,231117
"2020-12-29","Domestic","Retail: Other goods",90160889.61,849074
"2020-12-29","Domestic","Transport services",5768758.76,200797
"2020-12-29","Foreign","Accommodation",1598367.21,3302
"2020-12-29","Foreign","Entertainment and sports",73552.35,800
"2020-12-29","Foreign","Food and beverage services",231408.419999999,7601
"2020-12-29","Foreign","Human health services",133955.35,564
"2020-12-29","Foreign","Other",222294.27,783
"2020-12-29","Foreign","Personal services",63095.61,877
"2020-12-29","Foreign","Professional services",1055752.01,4890
"2020-12-29","Foreign","Retail: Food, beverage, tobacco",2075174.03999999,46179
"2020-12-29","Foreign","Retail: Fuel stations",388563.369999999,8931
"2020-12-29","Foreign","Retail: Other goods",4964321.24999999,29523
"2020-12-29","Foreign","Transport services",909671.4,16676
"2020-12-30","Domestic","Accommodation",5610997.19,18169
"2020-12-30","Domestic","Entertainment and sports",1248014.52,16684
"2020-12-30","Domestic","Food and beverage services",2827223.02,98619
"2020-12-30","Domestic","Human health services",2262879.87,10476
"2020-12-30","Domestic","Other",3389823.19,21615
"2020-12-30","Domestic","Personal services",2382813.85,23645
"2020-12-30","Domestic","Professional services",4024765.1,37482
"2020-12-30","Domestic","Retail: Food, beverage, tobacco",113199306.13,1968896
"2020-12-30","Domestic","Retail: Fuel stations",10513290.19,244202
"2020-12-30","Domestic","Retail: Other goods",87723980.8000001,865776
"2020-12-30","Domestic","Transport services",6019415.36,217151
"2020-12-30","Foreign","Accommodation",2035818.83,3743
"2020-12-30","Foreign","Entertainment and sports",69586.93,772
"2020-12-30","Foreign","Food and beverage services",262834.499999999,9001
"2020-12-30","Foreign","Human health services",265580.48,711
"2020-12-30","Foreign","Other",231735.96,720
"2020-12-30","Foreign","Personal services",77339.95,936
"2020-12-30","Foreign","Professional services",1137753.29,4925
"2020-12-30","Foreign","Retail: Food, beverage, tobacco",2678983.61000001,53314
"2020-12-30","Foreign","Retail: Fuel stations",444664.56,9876
"2020-12-30","Foreign","Retail: Other goods",4517368.45,30164
"2020-12-30","Foreign","Transport services",916895.259999999,18265
"2020-12-31","Domestic","Accommodation",4623708.93,16926
"2020-12-31","Domestic","Entertainment and sports",975606.16,12988
"2020-12-31","Domestic","Food and beverage services",2623635.63,73161
"2020-12-31","Domestic","Human health services",1588495.6,7062
"2020-12-31","Domestic","Other",1756003.22,17455
"2020-12-31","Domestic","Personal services",1559274.43,17062
"2020-12-31","Domestic","Professional services",2805130.14,28614
"2020-12-31","Domestic","Retail: Food, beverage, tobacco",106096674.04,2046663
"2020-12-31","Domestic","Retail: Fuel stations",10688024.04,253476
"2020-12-31","Domestic","Retail: Other goods",60326423.68,662599
"2020-12-31","Domestic","Transport services",4989731.63,221382
"2020-12-31","Foreign","Accommodation",1770304.46,3568
"2020-12-31","Foreign","Entertainment and sports",59022.48,580
"2020-12-31","Foreign","Food and beverage services",260924.82,7482
"2020-12-31","Foreign","Human health services",156302.03,640
"2020-12-31","Foreign","Other",167696.01,657
"2020-12-31","Foreign","Personal services",65045.32,904
"2020-12-31","Foreign","Professional services",775017.53,3928
"2020-12-31","Foreign","Retail: Food, beverage, tobacco",2753972.51,57074
"2020-12-31","Foreign","Retail: Fuel stations",393540.490000001,9107
"2020-12-31","Foreign","Retail: Other goods",3732884.02,24906
"2020-12-31","Foreign","Transport services",688513.410000001,16161
"2021-01-01","Domestic","Accommodation",6394694.91,16128
"2021-01-01","Domestic","Entertainment and sports",1043203.15,11964
"2021-01-01","Domestic","Food and beverage services",1713930.72,47593
"2021-01-01","Domestic","Human health services",181601.13,2157
"2021-01-01","Domestic","Other",803596.34,8111
"2021-01-01","Domestic","Personal services",62768.2,501
"2021-01-01","Domestic","Professional services",1520535.39,17146
"2021-01-01","Domestic","Retail: Food, beverage, tobacco",1805195.74,88238
"2021-01-01","Domestic","Retail: Fuel stations",4090468.32,93031
"2021-01-01","Domestic","Retail: Other goods",5872603.17,46560
"2021-01-01","Domestic","Transport services",3626855.56,113612
"2021-01-01","Foreign","Accommodation",2464673.88,3975
"2021-01-01","Foreign","Entertainment and sports",35641.11,351
"2021-01-01","Foreign","Food and beverage services",223516.87,6484
"2021-01-01","Foreign","Human health services",112342.18,470
"2021-01-01","Foreign","Other",47581.5,219
"2021-01-01","Foreign","Personal services",27293.06,460
"2021-01-01","Foreign","Professional services",452066.7,2615
"2021-01-01","Foreign","Retail: Food, beverage, tobacco",214992.21,7616
"2021-01-01","Foreign","Retail: Fuel stations",179487.07,4238
"2021-01-01","Foreign","Retail: Other goods",788283.48,5105
"2021-01-01","Foreign","Transport services",574262.09,10938
"2021-01-02","Domestic","Accommodation",10342070.47,18908
"2021-01-02","Domestic","Entertainment and sports",1279138.33,16696
"2021-01-02","Domestic","Food and beverage services",2396976.44,72684
"2021-01-02","Domestic","Human health services",722518.95,3839
"2021-01-02","Domestic","Other",1189575.04,14062
"2021-01-02","Domestic","Personal services",475770.9,5246
"2021-01-02","Domestic","Professional services",2022011.5,21193
"2021-01-02","Domestic","Retail: Food, beverage, tobacco",46813866.67,1064845
"2021-01-02","Domestic","Retail: Fuel stations",9771238.35,237765
"2021-01-02","Domestic","Retail: Other goods",48877954.42,473609
"2021-01-02","Domestic","Transport services",5232736.93,168652
"2021-01-02","Foreign","Accommodation",3549455.74,4184
"2021-01-02","Foreign","Entertainment and sports",57084.72,579
"2021-01-02","Foreign","Food and beverage services",273056.5,8842
"2021-01-02","Foreign","Human health services",149018.25,549
"2021-01-02","Foreign","Other",38316.43,250
"2021-01-02","Foreign","Personal services",30131.55,519
"2021-01-02","Foreign","Professional services",461599.48,3463
"2021-01-02","Foreign","Retail: Food, beverage, tobacco",1636154.63,40101
"2021-01-02","Foreign","Retail: Fuel stations",455991.110000001,10572
"2021-01-02","Foreign","Retail: Other goods",3144327.72999999,22682
"2021-01-02","Foreign","Transport services",840260.47,16006
"2021-01-03","Domestic","Accommodation",7337116.54,13631
"2021-01-03","Domestic","Entertainment and sports",1137175.16,14178
"2021-01-03","Domestic","Food and beverage services",1953662.85,57478
"2021-01-03","Domestic","Human health services",167782.94,2041
"2021-01-03","Domestic","Other",1008273.59,9838
"2021-01-03","Domestic","Personal services",78521.28,498
"2021-01-03","Domestic","Professional services",1992934.16,20711
"2021-01-03","Domestic","Retail: Food, beverage, tobacco",3113193.26,131045
"2021-01-03","Domestic","Retail: Fuel stations",5871737.99,132824
"2021-01-03","Domestic","Retail: Other goods",9253133.25,67185
"2021-01-03","Domestic","Transport services",4854466.41,118702
"2021-01-03","Foreign","Accommodation",3315888.45,3506
"2021-01-03","Foreign","Entertainment and sports",39613.14,481
"2021-01-03","Foreign","Food and beverage services",208149.48,7920
"2021-01-03","Foreign","Human health services",74565.29,298
"2021-01-03","Foreign","Other",46825.39,258
"2021-01-03","Foreign","Personal services",22126.19,396
"2021-01-03","Foreign","Professional services",480945.22,3014
"2021-01-03","Foreign","Retail: Food, beverage, tobacco",284483,9260
"2021-01-03","Foreign","Retail: Fuel stations",270114.82,6174
"2021-01-03","Foreign","Retail: Other goods",716540.030000002,4980
"2021-01-03","Foreign","Transport services",765277.63,11692
"2021-01-04","Domestic","Accommodation",2558183.16,10166
"2021-01-04","Domestic","Entertainment and sports",1162538.58,12618
"2021-01-04","Domestic","Food and beverage services",2200493.09,112833
"2021-01-04","Domestic","Human health services",1885352.71,12310
"2021-01-04","Domestic","Other",3685455.08,23333
"2021-01-04","Domestic","Personal services",1058659.92,11594
"2021-01-04","Domestic","Professional services",6124906.45,56257
"2021-01-04","Domestic","Retail: Food, beverage, tobacco",67042450.52,1643144
"2021-01-04","Domestic","Retail: Fuel stations",9865989.83999999,243511
"2021-01-04","Domestic","Retail: Other goods",68704832.9,684173
"2021-01-04","Domestic","Transport services",5329337.21,184299
"2021-01-04","Foreign","Accommodation",1428065.26,2568
"2021-01-04","Foreign","Entertainment and sports",61815.34,448
"2021-01-04","Foreign","Food and beverage services",191024.81,8319
"2021-01-04","Foreign","Human health services",251513.18,846
"2021-01-04","Foreign","Other",147236.09,571
"2021-01-04","Foreign","Personal services",58635.37,879
"2021-01-04","Foreign","Professional services",1379448.64,7076
"2021-01-04","Foreign","Retail: Food, beverage, tobacco",1946648.76,48635
"2021-01-04","Foreign","Retail: Fuel stations",470654.41,10833
"2021-01-04","Foreign","Retail: Other goods",4044443.05999999,24408
"2021-01-04","Foreign","Transport services",842943.68,15243
"2021-01-05","Domestic","Accommodation",2296688.24,10351
"2021-01-05","Domestic","Entertainment and sports",1006378.84,12145
"2021-01-05","Domestic","Food and beverage services",2374207.04,119234
"2021-01-05","Domestic","Human health services",2323232.98,13592
"2021-01-05","Domestic","Other",3497893.86,22362
"2021-01-05","Domestic","Personal services",1974157.04,20107
"2021-01-05","Domestic","Professional services",7236643.79,67167
"2021-01-05","Domestic","Retail: Food, beverage, tobacco",60772406.38,1536461
"2021-01-05","Domestic","Retail: Fuel stations",9431780.56999999,232595
"2021-01-05","Domestic","Retail: Other goods",64675853.96,673070
"2021-01-05","Domestic","Transport services",4347427.76,178548
"2021-01-05","Foreign","Accommodation",1209456.48,2362
"2021-01-05","Foreign","Entertainment and sports",41432.05,362
"2021-01-05","Foreign","Food and beverage services",174355.84,7627
"2021-01-05","Foreign","Human health services",169233.98,754
"2021-01-05","Foreign","Other",145698.83,588
"2021-01-05","Foreign","Personal services",69812.19,867
"2021-01-05","Foreign","Professional services",1470853.71,6479
"2021-01-05","Foreign","Retail: Food, beverage, tobacco",1567551.39,42132
"2021-01-05","Foreign","Retail: Fuel stations",412344.630000001,9650
"2021-01-05","Foreign","Retail: Other goods",3680104.55,22253
"2021-01-05","Foreign","Transport services",565575.28,13598
"2021-01-06","Domestic","Accommodation",2558174.43,9380
"2021-01-06","Domestic","Entertainment and sports",1103314.83,14037
"2021-01-06","Domestic","Food and beverage services",2399385.14,118206
"2021-01-06","Domestic","Human health services",2327629.65,13072
"2021-01-06","Domestic","Other",2998504.02,19880
"2021-01-06","Domestic","Personal services",1930233,19438
"2021-01-06","Domestic","Professional services",5635291.87,49574
"2021-01-06","Domestic","Retail: Food, beverage, tobacco",55807966.2099999,1481526
"2021-01-06","Domestic","Retail: Fuel stations",9350460.23,228601
"2021-01-06","Domestic","Retail: Other goods",60567261.6399999,616440
"2021-01-06","Domestic","Transport services",3758970.49,180496
"2021-01-06","Foreign","Accommodation",1435184.85,2207
"2021-01-06","Foreign","Entertainment and sports",48082.47,389
"2021-01-06","Foreign","Food and beverage services",178219.53,7243
"2021-01-06","Foreign","Human health services",146818.57,668
"2021-01-06","Foreign","Other",122515.57,473
"2021-01-06","Foreign","Personal services",70439.65,935
"2021-01-06","Foreign","Professional services",1326465.56,5223
"2021-01-06","Foreign","Retail: Food, beverage, tobacco",1451226.61,40652
"2021-01-06","Foreign","Retail: Fuel stations",363287.52,8780
"2021-01-06","Foreign","Retail: Other goods",3328891.10999999,20807
"2021-01-06","Foreign","Transport services",527781.32,12706
"2021-01-07","Domestic","Accommodation",2724557.85,12579
"2021-01-07","Domestic","Entertainment and sports",976800.06,12482
"2021-01-07","Domestic","Food and beverage services",2764289.03,133163
"2021-01-07","Domestic","Human health services",2552130.39,13915
"2021-01-07","Domestic","Other",3511155.22,21577
"2021-01-07","Domestic","Personal services",2286638.32,22365
"2021-01-07","Domestic","Professional services",5503049.88,49493
"2021-01-07","Domestic","Retail: Food, beverage, tobacco",58031599.82,1489325
"2021-01-07","Domestic","Retail: Fuel stations",10683561.14,256384
"2021-01-07","Domestic","Retail: Other goods",61093660.7099999,626181
"2021-01-07","Domestic","Transport services",4416781.4,195610
"2021-01-07","Foreign","Accommodation",1348681.74,2697
"2021-01-07","Foreign","Entertainment and sports",70015.77,527
"2021-01-07","Foreign","Food and beverage services",202190.29,8703
"2021-01-07","Foreign","Human health services",198062.81,834
"2021-01-07","Foreign","Other",155236.43,575
"2021-01-07","Foreign","Personal services",70428.6,846
"2021-01-07","Foreign","Professional services",1356528.02,5449
"2021-01-07","Foreign","Retail: Food, beverage, tobacco",1527066.27,40790
"2021-01-07","Foreign","Retail: Fuel stations",480838.22,10863
"2021-01-07","Foreign","Retail: Other goods",3410461.35999999,20623
"2021-01-07","Foreign","Transport services",665672.619999999,14713
"2021-01-08","Domestic","Accommodation",3396729.78,13801
"2021-01-08","Domestic","Entertainment and sports",1022246.51,13863
"2021-01-08","Domestic","Food and beverage services",3519291.37,145964
"2021-01-08","Domestic","Human health services",2728497.6,14020
"2021-01-08","Domestic","Other",4142017.9,25046
"2021-01-08","Domestic","Personal services",2817764.07,27737
"2021-01-08","Domestic","Professional services",6532968.19,57923
"2021-01-08","Domestic","Retail: Food, beverage, tobacco",81155091.3,1773899
"2021-01-08","Domestic","Retail: Fuel stations",11708997.14,280330
"2021-01-08","Domestic","Retail: Other goods",67936111.87,694923
"2021-01-08","Domestic","Transport services",4476319.46,213534
"2021-01-08","Foreign","Accommodation",1669898.53,2827
"2021-01-08","Foreign","Entertainment and sports",60949.91,429
"2021-01-08","Foreign","Food and beverage services",229507.469999999,8990
"2021-01-08","Foreign","Human health services",213229.17,910
"2021-01-08","Foreign","Other",168799.28,531
"2021-01-08","Foreign","Personal services",80983.4,1003
"2021-01-08","Foreign","Professional services",1333211.48,5682
"2021-01-08","Foreign","Retail: Food, beverage, tobacco",1715927.13,44353
"2021-01-08","Foreign","Retail: Fuel stations",483852.65,11273
"2021-01-08","Foreign","Retail: Other goods",3324233.82999999,21761
"2021-01-08","Foreign","Transport services",606976.200000001,15344
"2021-01-09","Domestic","Accommodation",3596254.25,15967
"2021-01-09","Domestic","Entertainment and sports",1220144.77,16645
"2021-01-09","Domestic","Food and beverage services",2955285.97,98696
"2021-01-09","Domestic","Human health services",2134253.51,8068
"2021-01-09","Domestic","Other",1848101.93,20926
"2021-01-09","Domestic","Personal services",2496580.31,24435
"2021-01-09","Domestic","Professional services",2645554.62,29864
"2021-01-09","Domestic","Retail: Food, beverage, tobacco",97665761.7900001,1902198
"2021-01-09","Domestic","Retail: Fuel stations",11832163.43,271847
"2021-01-09","Domestic","Retail: Other goods",85960262.92,855808
"2021-01-09","Domestic","Transport services",5051061.06,217903
"2021-01-09","Foreign","Accommodation",1853666.41,2901
"2021-01-09","Foreign","Entertainment and sports",44429.24,391
"2021-01-09","Foreign","Food and beverage services",198046.91,7266
"2021-01-09","Foreign","Human health services",94578.73,451
"2021-01-09","Foreign","Other",51589.43,282
"2021-01-09","Foreign","Personal services",83825.96,968
"2021-01-09","Foreign","Professional services",496704.21,3505
"2021-01-09","Foreign","Retail: Food, beverage, tobacco",1952501.54,46456
"2021-01-09","Foreign","Retail: Fuel stations",402139.01,9143
"2021-01-09","Foreign","Retail: Other goods",3831287.74,26092
"2021-01-09","Foreign","Transport services",609309.790000001,15339
"2021-01-10","Domestic","Accommodation",4519199.15,16096
"2021-01-10","Domestic","Entertainment and sports",881794.41,11995
"2021-01-10","Domestic","Food and beverage services",2048309.98,69414
"2021-01-10","Domestic","Human health services",173033.75,2086
"2021-01-10","Domestic","Other",841286.34,10381
"2021-01-10","Domestic","Personal services",60071.15,420
"2021-01-10","Domestic","Professional services",2071380.57,20826
"2021-01-10","Domestic","Retail: Food, beverage, tobacco",1938732.14,103215
"2021-01-10","Domestic","Retail: Fuel stations",5585605.02,102227
"2021-01-10","Domestic","Retail: Other goods",8919627.44,64412
"2021-01-10","Domestic","Transport services",4649290.96,148780
"2021-01-10","Foreign","Accommodation",1938013.31,3110
"2021-01-10","Foreign","Entertainment and sports",19505.84,311
"2021-01-10","Foreign","Food and beverage services",182238.509999999,7378
"2021-01-10","Foreign","Human health services",79759.4,265
"2021-01-10","Foreign","Other",58156.49,280
"2021-01-10","Foreign","Personal services",27507.82,454
"2021-01-10","Foreign","Professional services",421623.56,2580
"2021-01-10","Foreign","Retail: Food, beverage, tobacco",107069.91,4608
"2021-01-10","Foreign","Retail: Fuel stations",186904.68,3716
"2021-01-10","Foreign","Retail: Other goods",568126.180000001,3762
"2021-01-10","Foreign","Transport services",758588.36,12017
"2021-01-11","Domestic","Accommodation",1617908.68,8317
"2021-01-11","Domestic","Entertainment and sports",889851,11404
"2021-01-11","Domestic","Food and beverage services",2313011.38,137767
"2021-01-11","Domestic","Human health services",2218710.92,13751
"2021-01-11","Domestic","Other",3607948.6,22817
"2021-01-11","Domestic","Personal services",1175789.1,12378
"2021-01-11","Domestic","Professional services",5674174.48,63093
"2021-01-11","Domestic","Retail: Food, beverage, tobacco",58475229.8599999,1598588
"2021-01-11","Domestic","Retail: Fuel stations",11096051.76,277058
"2021-01-11","Domestic","Retail: Other goods",54716390.55,604822
"2021-01-11","Domestic","Transport services",3483957.13,183806
"2021-01-11","Foreign","Accommodation",1176311.96,2337
"2021-01-11","Foreign","Entertainment and sports",49579.67,357
"2021-01-11","Foreign","Food and beverage services",191896.74,9116
"2021-01-11","Foreign","Human health services",199179.04,763
"2021-01-11","Foreign","Other",208877.5,789
"2021-01-11","Foreign","Personal services",53394.68,776
"2021-01-11","Foreign","Professional services",1393319.88,6588
"2021-01-11","Foreign","Retail: Food, beverage, tobacco",1698456.96,46671
"2021-01-11","Foreign","Retail: Fuel stations",495434.400000001,12037
"2021-01-11","Foreign","Retail: Other goods",3093781.79,19744
"2021-01-11","Foreign","Transport services",534218.66,13922
"2021-01-12","Domestic","Accommodation",1431352.38,7724
"2021-01-12","Domestic","Entertainment and sports",850988.32,11458
"2021-01-12","Domestic","Food and beverage services",2442448.29,140460
"2021-01-12","Domestic","Human health services",2447590.66,14436
"2021-01-12","Domestic","Other",3189112.44,19989
"2021-01-12","Domestic","Personal services",2328492.02,22321
"2021-01-12","Domestic","Professional services",4237896.87,42880
"2021-01-12","Domestic","Retail: Food, beverage, tobacco",55002078.29,1468311
"2021-01-12","Domestic","Retail: Fuel stations",9746675.01999999,245011
"2021-01-12","Domestic","Retail: Other goods",51890920.2,550977
"2021-01-12","Domestic","Transport services",2768556.4,182688
"2021-01-12","Foreign","Accommodation",865091.38,2019
"2021-01-12","Foreign","Entertainment and sports",52905.02,343
"2021-01-12","Foreign","Food and beverage services",160304.2,7563
"2021-01-12","Foreign","Human health services",200665.77,691
"2021-01-12","Foreign","Other",229420.6,821
"2021-01-12","Foreign","Personal services",71560.96,891
"2021-01-12","Foreign","Professional services",1290394.55,5449
"2021-01-12","Foreign","Retail: Food, beverage, tobacco",1439071.33,40133
"2021-01-12","Foreign","Retail: Fuel stations",411704.37,10111
"2021-01-12","Foreign","Retail: Other goods",2999023.87,16828
"2021-01-12","Foreign","Transport services",347692.78,12325
"2021-01-13","Domestic","Accommodation",1458951.45,8249
"2021-01-13","Domestic","Entertainment and sports",1091862.22,14713
"2021-01-13","Domestic","Food and beverage services",2694359.02,145018
"2021-01-13","Domestic","Human health services",2836401.38,15252
"2021-01-13","Domestic","Other",3414775.83,21211
"2021-01-13","Domestic","Personal services",2504227.83,24722
"2021-01-13","Domestic","Professional services",4109316.03,41156
"2021-01-13","Domestic","Retail: Food, beverage, tobacco",61674388.17,1591085
"2021-01-13","Domestic","Retail: Fuel stations",10363755.06,261161
"2021-01-13","Domestic","Retail: Other goods",65324263.5,691724
"2021-01-13","Domestic","Transport services",2805420.05,195063
"2021-01-13","Foreign","Accommodation",1007998.14,2095
"2021-01-13","Foreign","Entertainment and sports",30894.74,367
"2021-01-13","Foreign","Food and beverage services",179237.49,8087
"2021-01-13","Foreign","Human health services",148632.04,694
"2021-01-13","Foreign","Other",181848.87,719
"2021-01-13","Foreign","Personal services",73150.52,920
"2021-01-13","Foreign","Professional services",1249436.01,5150
"2021-01-13","Foreign","Retail: Food, beverage, tobacco",1446208.59,42137
"2021-01-13","Foreign","Retail: Fuel stations",412590.45,10504
"2021-01-13","Foreign","Retail: Other goods",3801082.43999999,18828
"2021-01-13","Foreign","Transport services",380242.59,13253
"2021-01-14","Domestic","Accommodation",1632773.86,8656
"2021-01-14","Domestic","Entertainment and sports",918341.32,12161
"2021-01-14","Domestic","Food and beverage services",2806945.83,148962
"2021-01-14","Domestic","Human health services",2766688.41,14915
"2021-01-14","Domestic","Other",3535328.8,20229
"2021-01-14","Domestic","Personal services",2584374.83,24625
"2021-01-14","Domestic","Professional services",3627689.94,37566
"2021-01-14","Domestic","Retail: Food, beverage, tobacco",61699273.71,1527757
"2021-01-14","Domestic","Retail: Fuel stations",9881953.49,250466
"2021-01-14","Domestic","Retail: Other goods",74758881.0600001,759091
"2021-01-14","Domestic","Transport services",2815180.18,209654
"2021-01-14","Foreign","Accommodation",1125921.86,2149
"2021-01-14","Foreign","Entertainment and sports",32709.24,371
"2021-01-14","Foreign","Food and beverage services",165521.84,7811
"2021-01-14","Foreign","Human health services",168439.69,808
"2021-01-14","Foreign","Other",160572.96,665
"2021-01-14","Foreign","Personal services",80781.87,954
"2021-01-14","Foreign","Professional services",1318164.43,5225
"2021-01-14","Foreign","Retail: Food, beverage, tobacco",1428386.19,41402
"2021-01-14","Foreign","Retail: Fuel stations",435457.2,10765
"2021-01-14","Foreign","Retail: Other goods",3396220.64,20725
"2021-01-14","Foreign","Transport services",397507.34,13228
"2021-01-15","Domestic","Accommodation",2094499.35,10070
"2021-01-15","Domestic","Entertainment and sports",1033082.51,14549
"2021-01-15","Domestic","Food and beverage services",3464032.04,155364
"2021-01-15","Domestic","Human health services",2765094.09,14540
"2021-01-15","Domestic","Other",4005673.42,21492
"2021-01-15","Domestic","Personal services",2746139.86,26395
"2021-01-15","Domestic","Professional services",3881516.82,39584
"2021-01-15","Domestic","Retail: Food, beverage, tobacco",86978862.7900001,1863419
"2021-01-15","Domestic","Retail: Fuel stations",11283353.25,275773
"2021-01-15","Domestic","Retail: Other goods",87772766.72,881610
"2021-01-15","Domestic","Transport services",3491403,225945
"2021-01-15","Foreign","Accommodation",1082250.08,2370
"2021-01-15","Foreign","Entertainment and sports",41448.45,423
"2021-01-15","Foreign","Food and beverage services",213354.84,8749
"2021-01-15","Foreign","Human health services",181331.58,767
