"Date","Cardholder origin","Merchant category","Amount CHF","Number of transactions"
"2019-01-08","Foreign","Retail: Food, beverage, tobacco",1188634.82,37414
"2019-01-08","Foreign","Retail: Fuel stations",538580.290000001,11802
"2019-01-08","Foreign","Retail: Other goods",5522475.93,25494
"2019-01-08","Foreign","Transport services",874844.65,17942
"2019-01-09","Domestic","Accommodation",2384086.75,33123
"2019-01-09","Domestic","Entertainment and sports",2343058.81,20658
"2019-01-09","Domestic","Food and beverage services",7531680.45,246542
"2019-01-09","Domestic","Human health services",2491398.05,10906
"2019-01-09","Domestic","Other",2357740.28,9254
"2019-01-09","Domestic","Personal services",2193538.82,20994
"2019-01-09","Domestic","Professional services",4239357.08,34403
"2019-01-09","Domestic","Retail: Food, beverage, tobacco",36270387.32,1014396
"2019-01-09","Domestic","Retail: Fuel stations",9462527.68,200373
"2019-01-09","Domestic","Retail: Other goods",44528835.87,472858
"2019-01-09","Domestic","Transport services",3303838.05,156442
"2019-01-09","Foreign","Accommodation",3463149.86,10591
"2019-01-09","Foreign","Entertainment and sports",199986.66,1779
"2019-01-09","Foreign","Food and beverage services",1213901.29,31344
"2019-01-09","Foreign","Human health services",473007.19,684
"2019-01-09","Foreign","Other",598734.2,1302
"2019-01-09","Foreign","Personal services",77394.72,1039
"2019-01-09","Foreign","Professional services",1661820.2,7407
"2019-01-09","Foreign","Retail: Food, beverage, tobacco",1127881.71,36463
"2019-01-09","Foreign","Retail: Fuel stations",524959.34,11602
"2019-01-09","Foreign","Retail: Other goods",5713853.78000002,26386
"2019-01-09","Foreign","Transport services",870308.63,17996
"2019-01-10","Domestic","Accommodation",2850316.56,36387
"2019-01-10","Domestic","Entertainment and sports",2442701.8,19068
"2019-01-10","Domestic","Food and beverage services",8685902.73,271935
"2019-01-10","Domestic","Human health services",2563163.63,10795
"2019-01-10","Domestic","Other",2380087.5,9249
"2019-01-10","Domestic","Personal services",2358270.7,22250
"2019-01-10","Domestic","Professional services",3832134.04,32131
"2019-01-10","Domestic","Retail: Food, beverage, tobacco",37220866.66,1026687
"2019-01-10","Domestic","Retail: Fuel stations",9762610.35999999,208727
"2019-01-10","Domestic","Retail: Other goods",44569779.09,477954
"2019-01-10","Domestic","Transport services",3387572.97,171114
"2019-01-10","Foreign","Accommodation",4338951.69,11806
"2019-01-10","Foreign","Entertainment and sports",231458.52,1731
"2019-01-10","Foreign","Food and beverage services",1302563.9,34048
"2019-01-10","Foreign","Human health services",296141.8,618
"2019-01-10","Foreign","Other",676651.370000001,1192
"2019-01-10","Foreign","Personal services",103623.4,1082
"2019-01-10","Foreign","Professional services",1898640.07,7690
"2019-01-10","Foreign","Retail: Food, beverage, tobacco",1156612.58,37601
"2019-01-10","Foreign","Retail: Fuel stations",567413.890000001,12610
"2019-01-10","Foreign","Retail: Other goods",5466542.88000002,26566
"2019-01-10","Foreign","Transport services",1120796.89,21031
"2019-01-11","Domestic","Accommodation",3750373.95,39538
"2019-01-11","Domestic","Entertainment and sports",2401897.25,24341
"2019-01-11","Domestic","Food and beverage services",12165810.69,321782
"2019-01-11","Domestic","Human health services",2910076.39,11278
"2019-01-11","Domestic","Other",2686902.97,10715
"2019-01-11","Domestic","Personal services",2894167.4,27805
"2019-01-11","Domestic","Professional services",4152591,33082
"2019-01-11","Domestic","Retail: Food, beverage, tobacco",55499039.46,1232461
"2019-01-11","Domestic","Retail: Fuel stations",11396780.42,240046
"2019-01-11","Domestic","Retail: Other goods",51779350.36,545701
"2019-01-11","Domestic","Transport services",3781586.22,184262
"2019-01-11","Foreign","Accommodation",4731384.26,12395
"2019-01-11","Foreign","Entertainment and sports",203143.22,1963
"2019-01-11","Foreign","Food and beverage services",1462609.92,36836
"2019-01-11","Foreign","Human health services",421216.5,654
"2019-01-11","Foreign","Other",405421.95,1017
"2019-01-11","Foreign","Personal services",105423.61,1139
"2019-01-11","Foreign","Professional services",1885537.14,7812
"2019-01-11","Foreign","Retail: Food, beverage, tobacco",1306144.17,40379
"2019-01-11","Foreign","Retail: Fuel stations",647165.34,14192
"2019-01-11","Foreign","Retail: Other goods",6681124.90000004,30398
"2019-01-11","Foreign","Transport services",1170330.42,21923
"2019-01-12","Domestic","Accommodation",4050457.76,26497
"2019-01-12","Domestic","Entertainment and sports",2929563.18,36769
"2019-01-12","Domestic","Food and beverage services",12577060.2,255702
"2019-01-12","Domestic","Human health services",2610590.35,7763
"2019-01-12","Domestic","Other",948772.06,7063
"2019-01-12","Domestic","Personal services",2656322.3,26514
"2019-01-12","Domestic","Professional services",2592199.51,23997
"2019-01-12","Domestic","Retail: Food, beverage, tobacco",70222222.78,1281546
"2019-01-12","Domestic","Retail: Fuel stations",10631145.55,219401
"2019-01-12","Domestic","Retail: Other goods",76972268.84,733217
"2019-01-12","Domestic","Transport services",4476076.25,179009
"2019-01-12","Foreign","Accommodation",3753878.39,10619
"2019-01-12","Foreign","Entertainment and sports",244133.35,2738
"2019-01-12","Foreign","Food and beverage services",1695132.19,39149
"2019-01-12","Foreign","Human health services",114461.07,354
"2019-01-12","Foreign","Other",98977.93,361
"2019-01-12","Foreign","Personal services",99996.01,1209
"2019-01-12","Foreign","Professional services",883438.58,5751
"2019-01-12","Foreign","Retail: Food, beverage, tobacco",1584687.49,40930
"2019-01-12","Foreign","Retail: Fuel stations",626770.75,13264
"2019-01-12","Foreign","Retail: Other goods",7268682.95000002,39080
"2019-01-12","Foreign","Transport services",1114935.64,19639
"2019-01-13","Domestic","Accommodation",4422199.78,20152
"2019-01-13","Domestic","Entertainment and sports",2955323.17,38992
"2019-01-13","Domestic","Food and beverage services",6896868.63,153468
"2019-01-13","Domestic","Human health services",149791.9,1943
"2019-01-13","Domestic","Other",258662.78,2889
"2019-01-13","Domestic","Personal services",364517.11,3693
"2019-01-13","Domestic","Professional services",1317717.56,15364
"2019-01-13","Domestic","Retail: Food, beverage, tobacco",3937258.83,167944
"2019-01-13","Domestic","Retail: Fuel stations",8326309.15,197071
"2019-01-13","Domestic","Retail: Other goods",6573910.11,58827
"2019-01-13","Domestic","Transport services",2614346.01,105322
"2019-01-13","Foreign","Accommodation",3461871.71,10368
"2019-01-13","Foreign","Entertainment and sports",277450.58,2977
"2019-01-13","Foreign","Food and beverage services",1283756.47,31610
"2019-01-13","Foreign","Human health services",165851.25,279
"2019-01-13","Foreign","Other",103768.71,374
"2019-01-13","Foreign","Personal services",75085.83,1040
"2019-01-13","Foreign","Professional services",887824.91,5143
"2019-01-13","Foreign","Retail: Food, beverage, tobacco",399390.7,16836
"2019-01-13","Foreign","Retail: Fuel stations",547106.990000001,12407
"2019-01-13","Foreign","Retail: Other goods",2714775.96,17332
"2019-01-13","Foreign","Transport services",807853.12,14593
"2019-01-14","Domestic","Accommodation",2294088.36,32782
"2019-01-14","Domestic","Entertainment and sports",2508655.68,18056
"2019-01-14","Domestic","Food and beverage services",5915699.78,225218
"2019-01-14","Domestic","Human health services",1877167.89,9687
"2019-01-14","Domestic","Other",1728516.59,8557
"2019-01-14","Domestic","Personal services",1157362.55,11892
"2019-01-14","Domestic","Professional services",4301835.5,34906
"2019-01-14","Domestic","Retail: Food, beverage, tobacco",37280370.24,1060426
"2019-01-14","Domestic","Retail: Fuel stations",9337147.62,201863
"2019-01-14","Domestic","Retail: Other goods",38961803.97,437994
"2019-01-14","Domestic","Transport services",3081828.78,141594
"2019-01-14","Foreign","Accommodation",3532637.56999999,10074
"2019-01-14","Foreign","Entertainment and sports",201979.6,1515
"2019-01-14","Foreign","Food and beverage services",1189022.36,31964
"2019-01-14","Foreign","Human health services",215335.88,643
"2019-01-14","Foreign","Other",392584.26,1054
"2019-01-14","Foreign","Personal services",70039.56,929
"2019-01-14","Foreign","Professional services",2161010.76,8794
"2019-01-14","Foreign","Retail: Food, beverage, tobacco",1287917.64,40574
"2019-01-14","Foreign","Retail: Fuel stations",538952.33,12392
"2019-01-14","Foreign","Retail: Other goods",5676441.25000002,25689
"2019-01-14","Foreign","Transport services",939966.27,19171
"2019-01-15","Domestic","Accommodation",2515169.22,35251
"2019-01-15","Domestic","Entertainment and sports",2260263,18284
"2019-01-15","Domestic","Food and beverage services",7714347.03,255190
"2019-01-15","Domestic","Human health services",2439051.12,11105
"2019-01-15","Domestic","Other",1910428.14,9238
"2019-01-15","Domestic","Personal services",2152883.4,20603
"2019-01-15","Domestic","Professional services",3844182.63,32522
"2019-01-15","Domestic","Retail: Food, beverage, tobacco",36118717.14,1029181
"2019-01-15","Domestic","Retail: Fuel stations",9683400.75,211766
"2019-01-15","Domestic","Retail: Other goods",39764521.77,428184
"2019-01-15","Domestic","Transport services",3248144.21,153344
"2019-01-15","Foreign","Accommodation",3614329.4,11593
"2019-01-15","Foreign","Entertainment and sports",200643.4,1625
"2019-01-15","Foreign","Food and beverage services",1397815.07,35432
"2019-01-15","Foreign","Human health services",326174.6,635
