"X","FINALPROCESSINGDATE","TYPE","OURCODE","OURCATEGORY","STADTCHARAKTER","COUNTRY","NTRX","ISSUINGBASEAMOUNT","ATV"
600,"03-FEB-20","ATM Deposits",999,"Other",3,"CHE",1997,3341268,1673.14
601,"03-FEB-20","ATM Deposits",999,"Other",4,"CHE",2156,3682603,1708.07
602,"03-FEB-20","ATM Deposits",999,"Other",5,"CHE",1320,2281453,1728.37
603,"03-FEB-20","ATM Deposits",999,"Other",6,"CHE",1881,2900397,1541.94
604,"03-FEB-20","ATM Deposits",999,"Other",99,"CHE",108,169061,1565.38
605,"03-FEB-20","ATM Withdraws",999,"Other",0,"CHE",35606,15752627,442.41
606,"03-FEB-20","ATM Withdraws",999,"Other",1,"CHE",115024,55311233,480.87
607,"03-FEB-20","ATM Withdraws",999,"Other",2,"CHE",63736,36637750,574.84
608,"03-FEB-20","ATM Withdraws",999,"Other",3,"CHE",18749,10455529,557.66
609,"03-FEB-20","ATM Withdraws",999,"Other",4,"CHE",25448,12289349,482.92
610,"03-FEB-20","ATM Withdraws",999,"Other",5,"CHE",16211,7256944,447.66
611,"03-FEB-20","ATM Withdraws",999,"Other",6,"CHE",15082,6925721,459.2
612,"03-FEB-20","ATM Withdraws",999,"Other",99,"CHE",477,341367,715.65
613,"03-FEB-21","ATM Deposits",999,"Other",0,"CHE",1955,2895693,1481.17
614,"03-FEB-21","ATM Deposits",999,"Other",1,"CHE",8597,11020764,1281.93
615,"03-FEB-21","ATM Deposits",999,"Other",2,"CHE",4810,6900615,1434.64
616,"03-FEB-21","ATM Deposits",999,"Other",3,"CHE",1357,2002186,1475.45
617,"03-FEB-21","ATM Deposits",999,"Other",4,"CHE",1582,2211331,1397.81
618,"03-FEB-21","ATM Deposits",999,"Other",5,"CHE",1031,1590798,1542.97
619,"03-FEB-21","ATM Deposits",999,"Other",6,"CHE",1338,1740586,1300.89
620,"03-FEB-21","ATM Deposits",999,"Other",99,"CHE",96,170536,1776.42
621,"03-FEB-21","ATM Withdraws",999,"Other",0,"CHE",23931,11629465,485.96
622,"03-FEB-21","ATM Withdraws",999,"Other",1,"CHE",67716,35246970,520.51
