"Date","Region","Canton","Amount CHF","Number of transactions"
"2019-01-09","Eastern","GR",4043040.5,44802
"2019-01-09","Eastern","SG",6000652.52,100738
"2019-01-09","Eastern","SH",859766.65,16484
"2019-01-09","Eastern","TG",2485944.91,43172
"2019-01-09","Espace Mittelland","BE",12195754.77,232769
"2019-01-09","Espace Mittelland","FR",3122294.03,55897
"2019-01-09","Espace Mittelland","JU",659887.23,11374
"2019-01-09","Espace Mittelland","NE",2027538.24,39832
"2019-01-09","Espace Mittelland","SO",2348281.14,45026
"2019-01-09","Lake Geneva","GE",11044228.29,191815
"2019-01-09","Lake Geneva","VD",12436039.68,226389
"2019-01-09","Lake Geneva","VS",5940861.48999999,80348
"2019-01-09","Northwestern","AG",7448981.26999999,135334
"2019-01-09","Northwestern","BL",2693364.29,50720
"2019-01-09","Northwestern","BS",3101790.52,71863
"2019-01-09","Ticino","TI",4602822.13,62965
"2019-01-09","Zurich","ZH",25579768.45,564517
"2019-01-10","9999","9999",35382.8,1277
"2019-01-10","Central","LU",5693498.89,99492
"2019-01-10","Central","NW",583466.22,8254
"2019-01-10","Central","OW",393158.79,5849
"2019-01-10","Central","SZ",1885389.96,28836
"2019-01-10","Central","UR",402935.9,5165
"2019-01-10","Central","ZG",2209866.72,41267
"2019-01-10","Eastern","AI",99397.91,1233
"2019-01-10","Eastern","AR",288275.27,4514
"2019-01-10","Eastern","GL",357476.21,6206
"2019-01-10","Eastern","GR",4723467.42,51695
"2019-01-10","Eastern","SG",5621663.99,96677
"2019-01-10","Eastern","SH",830337.54,16826
"2019-01-10","Eastern","TG",2288294.46,40618
"2019-01-10","Espace Mittelland","BE",13564244.37,249285
"2019-01-10","Espace Mittelland","FR",3604071.41,62204
"2019-01-10","Espace Mittelland","JU",722641.16,12302
"2019-01-10","Espace Mittelland","NE",2384306.28,43631
"2019-01-10","Espace Mittelland","SO",2585004.15,47986
"2019-01-10","Lake Geneva","GE",12028491.33,206118
"2019-01-10","Lake Geneva","VD",13236888.53,235453
"2019-01-10","Lake Geneva","VS",6630445.64,88336
"2019-01-10","Northwestern","AG",7358266.21000001,133464
"2019-01-10","Northwestern","BL",2798987.36,52015
"2019-01-10","Northwestern","BS",3344221.43,75876
"2019-01-10","Ticino","TI",4921159.75,68381
"2019-01-10","Zurich","ZH",24371287.59,554019
"2019-01-11","9999","9999",37815.17,1292
"2019-01-11","Central","LU",7988582.45,122662
"2019-01-11","Central","NW",785754.54,10532
"2019-01-11","Central","OW",636579.79,8463
"2019-01-11","Central","SZ",2842758.16,39531
"2019-01-11","Central","UR",578672.12,7212
"2019-01-11","Central","ZG",3126855.61,51098
"2019-01-11","Eastern","AI",180414.5,2006
"2019-01-11","Eastern","AR",519096.54,6553
"2019-01-11","Eastern","GL",521570.04,8607
"2019-01-11","Eastern","GR",6141270.55,66858
"2019-01-11","Eastern","SG",8400383.16000001,126912
"2019-01-11","Eastern","SH",1063878.12,19378
"2019-01-11","Eastern","TG",3384537.49,52793
"2019-01-11","Espace Mittelland","BE",17579705.93,294248
"2019-01-11","Espace Mittelland","FR",4753092.25,74297
