"Date","Payment method","Merchant category","Amount CHF","Number of transactions"
"2019-01-09","Debit","Retail: Food, beverage, tobacco",28592378.12,815456
"2019-01-09","Debit","Retail: Fuel stations",7396237.16,162894
"2019-01-09","Debit","Retail: Other goods",29225244.26,357414
"2019-01-09","Debit","Transport services",684083.93,32436
"2019-01-09","Mobile","Accommodation",8300.87,195
"2019-01-09","Mobile","Food and beverage services",33304.36,2075
"2019-01-09","Mobile","Other",41587.65,489
"2019-01-09","Mobile","Professional services",29322.75,336
"2019-01-09","Mobile","Retail: Food, beverage, tobacco",78830.29,2935
"2019-01-09","Mobile","Retail: Fuel stations",4312.51,166
"2019-01-09","Mobile","Retail: Other goods",261249.21,1492
"2019-01-09","Mobile","Transport services",13236.53,463
"2019-01-10","Credit","Accommodation",6142319.46,28209
"2019-01-10","Credit","Food and beverage services",4808011.07000002,109988
"2019-01-10","Credit","Other",4796863.57,25798
"2019-01-10","Credit","Professional services",4044321.14999999,25951
"2019-01-10","Credit","Retail: Food, beverage, tobacco",9294540.65999999,238626
"2019-01-10","Credit","Retail: Fuel stations",2714473.72,51823
"2019-01-10","Credit","Retail: Other goods",20607098.4099999,146663
"2019-01-10","Credit","Transport services",3633299.18000001,156087
"2019-01-10","Debit","Accommodation",1043317.24,19799
"2019-01-10","Debit","Food and beverage services",5142727.54000002,193732
"2019-01-10","Debit","Other",6213626.3,39746
"2019-01-10","Debit","Professional services",1662512.56,13564
"2019-01-10","Debit","Retail: Food, beverage, tobacco",29006904.36,822640
"2019-01-10","Debit","Retail: Fuel stations",7610114.10000001,169345
"2019-01-10","Debit","Retail: Other goods",29102931.2599999,356374
"2019-01-10","Debit","Transport services",863221.01,35584
"2019-01-10","Mobile","Accommodation",3631.55,185
"2019-01-10","Mobile","Food and beverage services",37728.02,2263
"2019-01-10","Mobile","Other",41608.85,441
"2019-01-10","Mobile","Professional services",23940.4,306
"2019-01-10","Mobile","Retail: Food, beverage, tobacco",76034.22,3022
"2019-01-10","Mobile","Retail: Fuel stations",5436.43,169
"2019-01-10","Mobile","Retail: Other goods",326292.3,1483
"2019-01-10","Mobile","Transport services",11849.67,474
"2019-01-11","Credit","Accommodation",6910419.77,29805
"2019-01-11","Credit","Food and beverage services",6265952.02000001,123304
"2019-01-11","Credit","Other",5042018.44,29184
"2019-01-11","Credit","Professional services",4058856.27,24799
"2019-01-11","Credit","Retail: Food, beverage, tobacco",13096796.76,282020
"2019-01-11","Credit","Retail: Fuel stations",3255145.39,60797
"2019-01-11","Credit","Retail: Other goods",23119376.6399998,156421
"2019-01-11","Credit","Transport services",3809830.08,164138
"2019-01-11","Debit","Accommodation",1563421.14,21909
"2019-01-11","Debit","Food and beverage services",7312223.37,233046
"2019-01-11","Debit","Other",6949684.85,49246
"2019-01-11","Debit","Professional services",1956585.47,15794
"2019-01-11","Debit","Retail: Food, beverage, tobacco",43591897.6,987496
"2019-01-11","Debit","Retail: Fuel stations",8781509.86,193221
"2019-01-11","Debit","Retail: Other goods",34945682.24,418302
"2019-01-11","Debit","Transport services",1125841.58,41479
"2019-01-11","Mobile","Accommodation",7917.3,219
"2019-01-11","Mobile","Food and beverage services",50245.22,2268
"2019-01-11","Mobile","Other",36546,482
"2019-01-11","Mobile","Professional services",22686.4,301
"2019-01-11","Mobile","Retail: Food, beverage, tobacco",116489.27,3324
"2019-01-11","Mobile","Retail: Fuel stations",7290.51,220
"2019-01-11","Mobile","Retail: Other goods",395416.38,1376
"2019-01-11","Mobile","Transport services",16244.98,568
"2019-01-12","Credit","Accommodation",5933680.93,21061
"2019-01-12","Credit","Food and beverage services",6518503.43,102554
"2019-01-12","Credit","Other",4156089.68,31364
"2019-01-12","Credit","Professional services",2309100.23,17970
"2019-01-12","Credit","Retail: Food, beverage, tobacco",16760306.2,300578
"2019-01-12","Credit","Retail: Fuel stations",3029700.65,56429
"2019-01-12","Credit","Retail: Other goods",32675129.1699999,210428
"2019-01-12","Credit","Transport services",3521376.37,142417
