"Date","Cardholder origin","Cardholder origin detail","Scaled Value","Scaled Number of Transactions"
"2021-07-29","Foreign","LIE",0.134533111188924,0.17051854359422
"2021-07-29","Foreign","NLD",0.379280926594268,0.658350446366361
"2021-07-29","Foreign","RUS",0.153322507074361,0.0618924193512206
"2021-07-29","Foreign","RoW",2.47089414521392,2.13061509712793
"2021-07-29","Foreign","USA",0.612847478714828,0.453028038183646
"2021-07-30","Domestic","CHE",78.7380420300863,122.157214222545
"2021-07-30","Foreign","AUT",0.126299096546051,0.174733074071733
"2021-07-30","Foreign","CHN",0.334614367067337,0.0445584633549974
"2021-07-30","Foreign","DEU",1.29494601366973,1.66990573726753
"2021-07-30","Foreign","FRA",0.979947671536982,1.71636753696721
"2021-07-30","Foreign","GBR",0.339374005254682,0.472129377928504
"2021-07-30","Foreign","ITA",0.314634148223064,0.485792613831409
"2021-07-30","Foreign","LIE",0.164281865088386,0.194854058286957
"2021-07-30","Foreign","NLD",0.495932970902155,0.791583990494194
"2021-07-30","Foreign","RUS",0.153603755733981,0.0623342652883793
"2021-07-30","Foreign","RoW",2.79404339618259,2.27254960740289
"2021-07-30","Foreign","USA",0.693550548045829,0.478994984028969
"2021-07-31","Domestic","CHE",84.4100081689382,126.900498334241
"2021-07-31","Foreign","AUT",0.124420553650479,0.185915175096747
"2021-07-31","Foreign","CHN",0.342939076766696,0.0486030530874495
"2021-07-31","Foreign","DEU",1.49126571949256,2.02069742322247
"2021-07-31","Foreign","FRA",0.94580329322287,1.61620446182825
"2021-07-31","Foreign","GBR",0.34392763330228,0.488851547242508
"2021-07-31","Foreign","ITA",0.3533733158861,0.513866824915489
"2021-07-31","Foreign","LIE",0.205721987141062,0.236863410466039
"2021-07-31","Foreign","NLD",0.553166235106093,0.891475160441057
"2021-07-31","Foreign","RUS",0.0813636355750921,0.0618244430531962
"2021-07-31","Foreign","RoW",2.39277948381645,2.30004601995376
"2021-07-31","Foreign","USA",0.584178520734415,0.501801032016157
"2021-08-01","Domestic","CHE",21.9626545874427,41.072876709349
"2021-08-01","Foreign","AUT",0.0800639041440658,0.127591511391808
"2021-08-01","Foreign","CHN",0.101890205982219,0.0248793250769322
"2021-08-01","Foreign","DEU",0.990582457946228,1.26942337745675
"2021-08-01","Foreign","FRA",0.587831616576295,1.03154032252034
"2021-08-01","Foreign","GBR",0.185823092313975,0.284786700573244
"2021-08-01","Foreign","ITA",0.219325317516794,0.315919845068422
"2021-08-01","Foreign","LIE",0.0332559857748485,0.0572360429365489
"2021-08-01","Foreign","NLD",0.352723170175054,0.613282160776181
"2021-08-01","Foreign","RUS",0.0368099592821098,0.033750231969117
"2021-08-01","Foreign","RoW",1.59323332172246,1.46329177942235
"2021-08-01","Foreign","USA",0.39065768550124,0.334137492938962
"2021-08-02","Domestic","CHE",63.2421092432372,106.159808198077
"2021-08-02","Foreign","AUT",0.127635368373107,0.176772363012465
"2021-08-02","Foreign","CHN",0.229297650159617,0.0430289966494483
"2021-08-02","Foreign","DEU",1.32304276651376,1.64913897822107
"2021-08-02","Foreign","FRA",1.00603315185485,1.77190417245315
"2021-08-02","Foreign","GBR",0.330655680576585,0.467778894854942
"2021-08-02","Foreign","ITA",0.360594443752201,0.504927941725279
"2021-08-02","Foreign","LIE",0.138695724496018,0.178029924525916
"2021-08-02","Foreign","NLD",0.50382440415766,0.819046414896054
"2021-08-02","Foreign","RUS",0.115138094756182,0.0606008696887569
"2021-08-02","Foreign","RoW",2.6779682170766,2.25776476258258
"2021-08-02","Foreign","USA",0.628001494839367,0.489701250967813
"2021-08-03","Domestic","CHE",63.1175312616089,106.852622627542
"2021-08-03","Foreign","AUT",0.120715288571013,0.170416579147183
"2021-08-03","Foreign","CHN",0.255762322749269,0.0420093521790822
"2021-08-03","Foreign","DEU",1.1574640835143,1.52769932180047
"2021-08-03","Foreign","FRA",0.976570142207616,1.72788951948235
"2021-08-03","Foreign","GBR",0.325367430403498,0.451804464819207
"2021-08-03","Foreign","ITA",0.342170451827068,0.482155881887104
"2021-08-03","Foreign","LIE",0.147295687426176,0.175888671138148
"2021-08-03","Foreign","NLD",0.484121012784804,0.776221347140679
"2021-08-03","Foreign","RUS",0.119098445556045,0.0607028341357935
"2021-08-03","Foreign","RoW",2.57342979376543,2.11572828786059
"2021-08-03","Foreign","USA",0.600383021357546,0.465773594063222
"2021-08-04","Domestic","CHE",67.1899042053829,110.014404177551
"2021-08-04","Foreign","AUT",0.138481850985226,0.177724031184806
"2021-08-04","Foreign","CHN",0.537626349893218,0.047345491573998
