"CubeId";"plkoprex"
"PublishingDate";"2023-07-21 09:00"

"Date";"D0";"Value"
"1985-10";"T2";"67.5176"
"1985-10";"IE";"86.3123"
"1985-10";"T3";"68.525"
"1985-10";"IT";"31.5195"
"1985-10";"T4";"68.2528"
"1985-10";"IAG";"62.6344"
"1985-10";"T5";
"1985-10";"IBS";
"1985-10";"T6";
"1985-10";"IAP";
"1985-10";"K1";
"1985-10";"FP";
"1985-10";"ET";
"1985-10";"K2";
"1985-10";"T7";"68.1178"
"1985-11";"T0";"0"
"1985-11";"IG";"0"
"1985-11";"T1";"74.208"
"1985-11";"IW";"49.2542"
"1985-11";"T2";"67.9983"
"1985-11";"IE";"86.8571"
"1985-11";"T3";"69.0118"
"1985-11";"IT";"31.5567"
"1985-11";"T4";"68.7456"
"1985-11";"IAG";"62.7429"
"1985-11";"T5";
"1985-11";"IBS";
"1985-11";"T6";
"1985-11";"IAP";
"1985-11";"K1";
"1985-11";"FP";
"1985-11";"ET";
"1985-11";"K2";
"1985-11";"T7";"68.5995"
"1985-12";"T0";"0"
"1985-12";"IG";"0"
"1985-12";"T1";"74.2639"
"1985-12";"IW";"49.2542"
"1985-12";"T2";"68.1686"
"1985-12";"IE";"84.2026"
"1985-12";"T3";"69.0547"
"1985-12";"IT";"31.5567"
"1985-12";"T4";"68.7891"
"1985-12";"IAG";"62.7429"
"1985-12";"T5";
"1985-12";"IBS";
"1985-12";"T6";
"1985-12";"IAP";
"1985-12";"K1";
"1985-12";"FP";
"1985-12";"ET";
"1985-12";"K2";
"1985-12";"T7";"68.6419"
"1986-01";"T0";"0"
"1986-01";"IG";"0"
"1986-01";"T1";"74.2254"
"1986-01";"IW";"49.2542"
"1986-01";"T2";"68.4311"
"1986-01";"IE";"78.0173"
"1986-01";"T3";"69.0252"
"1986-01";"IT";"31.5567"
"1986-01";"T4";"68.7592"
"1986-01";"IAG";"62.7429"
"1986-01";"T5";
"1986-01";"IBS";
"1986-01";"T6";
"1986-01";"IAP";
"1986-01";"K1";
"1986-01";"FP";
"1986-01";"ET";
"1986-01";"K2";
"1986-01";"T7";"68.6128"
"1986-02";"T0";"0"
"1986-02";"IG";"0"
"1986-02";"T1";"74.2031"
"1986-02";"IW";"49.2542"
"1986-02";"T2";"68.7117"
"1986-02";"IE";"71.7232"
"1986-02";"T3";"69.0081"
"1986-02";"IT";"31.5652"
"1986-02";"T4";"68.7313"
"1986-02";"IAG";"63.0903"
"1986-02";"T5";
"1986-02";"IBS";
"1986-02";"T6";
"1986-02";"IAP";
"1986-02";"K1";
"1986-02";"FP";
"1986-02";"ET";
