"CubeId";"plkoprgru"
"PublishingDate";"2023-07-21 09:00"

"Date";"D0";"Value"
"1987-01";"SWD";"69.3612"
"1987-01";"T";"69.0667"
"1987-02";"NG";"80.2646"
"1987-02";"AGT";"57.4408"
"1987-02";"BS";"82.0399"
"1987-02";"WE";"51.3807"
"1987-02";"HH";"89.2838"
"1987-02";"G";"73.6882"
"1987-02";"V";"69.4105"
"1987-02";"N";"203.1518"
"1987-02";"FK";"93.5363"
"1987-02";"EU";"45.6608"
"1987-02";"RH";"52.3702"
"1987-02";"SWD";"69.3612"
"1987-02";"T";"69.2694"
"1987-03";"NG";"80.7968"
"1987-03";"AGT";"57.4408"
"1987-03";"BS";"82.6744"
"1987-03";"WE";"51.2866"
"1987-03";"HH";"89.6806"
"1987-03";"G";"73.7023"
"1987-03";"V";"69.2427"
"1987-03";"N";"203.1518"
"1987-03";"FK";"93.5363"
"1987-03";"EU";"45.6608"
"1987-03";"RH";"52.3702"
"1987-03";"SWD";"69.6397"
"1987-03";"T";"69.3662"
"1987-04";"NG";"81.1427"
"1987-04";"AGT";"57.4408"
"1987-04";"BS";"82.6744"
"1987-04";"WE";"51.2702"
"1987-04";"HH";"89.6806"
"1987-04";"G";"73.7625"
"1987-04";"V";"69.5473"
"1987-04";"N";"203.1518"
"1987-04";"FK";"93.5363"
"1987-04";"EU";"45.6608"
"1987-04";"RH";"52.3702"
"1987-04";"SWD";"69.6397"
"1987-04";"T";"69.4528"
"1987-05";"NG";"80.0808"
"1987-05";"AGT";"57.4999"
"1987-05";"BS";"82.6744"
"1987-05";"WE";"51.8563"
"1987-05";"HH";"89.6806"
"1987-05";"G";"73.7625"
"1987-05";"V";"69.6465"
"1987-05";"N";"203.1518"
"1987-05";"FK";"89.0391"
"1987-05";"EU";"46.0313"
"1987-05";"RH";"52.4766"
"1987-05";"SWD";"69.6397"
"1987-05";"T";"69.068"
"1987-06";"NG";"81.2119"
"1987-06";"AGT";"57.4999"
"1987-06";"BS";"82.9353"
"1987-06";"WE";"51.9078"
"1987-06";"HH";"89.789"
"1987-06";"G";"73.7971"
"1987-06";"V";"69.6563"
"1987-06";"N";"203.1518"
"1987-06";"FK";"89.0391"
"1987-06";"EU";"46.0313"
"1987-06";"RH";"52.4766"
"1987-06";"SWD";"69.8874"
"1987-06";"T";"69.2885"
"1987-07";"NG";"80.9488"
"1987-07";"AGT";"57.4999"
"1987-07";"BS";"82.9353"
"1987-07";"WE";"52.0154"
"1987-07";"HH";"89.789"
"1987-07";"G";"74.2185"
"1987-07";"V";"69.6626"
"1987-07";"N";"203.1518"
"1987-07";"FK";"89.047"
"1987-07";"EU";"46.0313"
"1987-07";"RH";"52.4766"
"1987-07";"SWD";"69.8874"
"1987-07";"T";"69.3063"
"1987-08";"NG";"80.4886"
"1987-08";"AGT";"57.4732"
"1987-08";"BS";"82.9353"
"1987-08";"WE";"52.1505"
"1987-08";"HH";"89.789"
"1987-08";"G";"74.2185"
"1987-08";"V";"69.6604"
"1987-08";"N";"189.2422"
"1987-08";"FK";"93.799"
"1987-08";"EU";"46.503"
"1987-08";"RH";"51.9752"
"1987-08";"SWD";"69.8874"
"1987-08";"T";"69.5758"
"1987-09";"NG";"79.7492"
"1987-09";"AGT";"57.4732"
"1987-09";"BS";"83.3597"
"1987-09";"WE";"51.944"
"1987-09";"HH";"89.9477"
"1987-09";"G";"74.2368"
"1987-09";"V";"69.4258"
"1987-09";"N";"189.2422"
"1987-09";"FK";"93.799"
"1987-09";"EU";"46.503"
"1987-09";"RH";"51.9752"
"1987-09";"SWD";"70.1285"
"1987-09";"T";"69.4104"
"1987-10";"NG";"80.1897"
"1987-10";"AGT";"57.4732"
"1987-10";"BS";"83.3597"
"1987-10";"WE";"52.0425"
"1987-10";"HH";"89.9477"
"1987-10";"G";"76.0513"
"1987-10";"V";"70.158"
"1987-10";"N";"188.9767"
"1987-10";"FK";"94.0275"
"1987-10";"EU";"46.503"
"1987-10";"RH";"51.9752"
"1987-10";"SWD";"70.1285"
"1987-10";"T";"69.7165"
"1987-11";"NG";"80.354"
"1987-11";"AGT";"57.4845"
"1987-11";"BS";"83.3597"
"1987-11";"WE";"52.4512"
"1987-11";"HH";"89.9477"
"1987-11";"G";"76.0513"
"1987-11";"V";"70.1413"
"1987-11";"N";"188.9767"
"1987-11";"FK";"93.945"
"1987-11";"EU";"47.6913"
"1987-11";"RH";"52.7612"
"1987-11";"SWD";"70.1285"
"1987-11";"T";"69.9701"
"1987-12";"NG";"80.4971"
"1987-12";"AGT";"57.4845"
"1987-12";"BS";"83.7038"
"1987-12";"WE";"52.3634"
"1987-12";"HH";"90.0564"
"1987-12";"G";"76.0777"
"1987-12";"V";"69.8599"
"1987-12";"N";"188.9767"
"1987-12";"FK";"93.945"
"1987-12";"EU";"47.6913"
"1987-12";"RH";"52.7612"
"1987-12";"SWD";"70.3169"
"1987-12";"T";"69.9651"
"1988-01";"NG";"81.2187"
"1988-01";"AGT";"57.4845"
"1988-01";"BS";"83.7038"
"1988-01";"WE";"52.2192"
"1988-01";"HH";"90.0564"
"1988-01";"G";"76.8656"
"1988-01";"V";"70.4185"
"1988-01";"N";"188.9767"
"1988-01";"FK";"93.9664"
"1988-01";"EU";"47.6913"
"1988-01";"RH";"52.7612"
"1988-01";"SWD";"70.3169"
"1988-01";"T";"70.1438"
"1988-02";"NG";"82.1026"
"1988-02";"AGT";"57.4528"
"1988-02";"BS";"83.7038"
"1988-02";"WE";"52.1131"
"1988-02";"HH";"90.0564"
"1988-02";"G";"76.8656"
"1988-02";"V";"70.4006"
"1988-02";"N";"188.9767"
"1988-02";"FK";"94.801"
"1988-02";"EU";"47.7246"
"1988-02";"RH";"53.9747"
"1988-02";"SWD";"70.3169"
"1988-02";"T";"70.4865"
"1988-03";"NG";"83.0488"
"1988-03";"AGT";"57.4528"
"1988-03";"BS";"84.152"
"1988-03";"WE";"52.0673"
"1988-03";"HH";"90.4299"
"1988-03";"G";"76.8811"
"1988-03";"V";"70.3559"
"1988-03";"N";"186.053"
"1988-03";"FK";"94.801"
"1988-03";"EU";"47.7246"
"1988-03";"RH";"53.9747"
"1988-03";"SWD";"70.8096"
"1988-03";"T";"70.6497"
"1988-04";"NG";"83.479"
"1988-04";"AGT";"57.4528"
"1988-04";"BS";"84.152"
"1988-04";"WE";"52.2344"
"1988-04";"HH";"90.4299"
"1988-04";"G";"76.9621"
"1988-04";"V";"70.4643"
"1988-04";"N";"186.053"
"1988-04";"FK";"94.8015"
"1988-04";"EU";"47.7246"
"1988-04";"RH";"53.9747"
"1988-04";"SWD";"70.8096"
"1988-04";"T";"70.7846"
"1988-05";"NG";"83.0711"
"1988-05";"AGT";"57.5669"
"1988-05";"BS";"84.152"
"1988-05";"WE";"52.9065"
"1988-05";"HH";"90.4299"
"1988-05";"G";"76.9621"
"1988-05";"V";"70.6902"
"1988-05";"N";"186.053"
"1988-05";"FK";"90.7703"
"1988-05";"EU";"47.7753"
"1988-05";"RH";"54.2868"
"1988-05";"SWD";"70.8096"
"1988-05";"T";"70.6127"
"1988-06";"NG";"83.4789"
"1988-06";"AGT";"57.5669"
"1988-06";"BS";"84.2961"
"1988-06";"WE";"52.9108"
"1988-06";"HH";"90.6942"
"1988-06";"G";"77.0133"
"1988-06";"V";"70.8703"
"1988-06";"N";"186.053"
"1988-06";"FK";"90.7703"
"1988-06";"EU";"47.7753"
"1988-06";"RH";"54.2868"
"1988-06";"SWD";"70.9435"
"1988-06";"T";"70.7225"
"1988-07";"NG";"82.4947"
"1988-07";"AGT";"57.5669"
"1988-07";"BS";"84.2961"
"1988-07";"WE";"52.8638"
"1988-07";"HH";"90.6942"
"1988-07";"G";"77.1155"
"1988-07";"V";"70.8636"
